event_utc,cycle_run_id,event_type,supplier_id,f061_run_id,status,rows,notes
2026-05-13T23:52:02Z,f061_child,f061_browser_visibility,,,hidden,0,auth_confirmed
2026-05-13T23:52:10Z,f061_child,f061_browser_visibility,,,visible,0,amazon_dashboard_login_required
2026-05-13T23:53:07Z,f061_child,f061_browser_visibility,,,hidden,0,auth_confirmed
2026-05-13T23:53:14Z,f061_child,f061_browser_visibility,,,visible,0,amazon_dashboard_login_required
2026-05-13T23:54:31Z,f061_child,f061_browser_visibility,,,hidden,0,auth_confirmed
2026-05-13T23:54:39Z,f061_child,f061_browser_visibility,,,visible,0,amazon_dashboard_login_required
2026-05-13T23:46:45Z,fpm_live_20260513T124020Z,scanner_chunk,stax,fpm_stax_20260512T195116Z,success,25,pending_after=12224
2026-05-13T23:46:45Z,fpm_live_20260513T124020Z,f061_memory_import,stax,fpm_stax_20260512T195116Z,success,4907,processed_rows=4896;memory_rows=33508
2026-05-13T23:59:51Z,f061_child,f061_browser_visibility,,,hidden,0,auth_confirmed
2026-05-13T23:59:59Z,f061_child,f061_browser_visibility,,,visible,0,amazon_dashboard_login_required
2026-05-14T00:02:24Z,f061_child,f061_browser_visibility,,,hidden,0,auth_confirmed
2026-05-14T00:02:29Z,f061_child,f061_browser_visibility,,,visible,0,amazon_dashboard_login_required
2026-05-14T00:04:16Z,f061_child,f061_browser_visibility,,,hidden,0,auth_confirmed
2026-05-14T00:04:23Z,f061_child,f061_browser_visibility,,,visible,0,amazon_dashboard_login_required
2026-05-14T00:05:46Z,f061_child,f061_browser_visibility,,,hidden,0,auth_confirmed
2026-05-14T00:05:52Z,f061_child,f061_browser_visibility,,,visible,0,amazon_dashboard_login_required
2026-05-14T00:06:35Z,f061_child,f061_browser_visibility,,,hidden,0,auth_confirmed
2026-05-14T00:06:44Z,f061_child,f061_browser_visibility,,,visible,0,amazon_dashboard_login_required
2026-05-14T00:08:19Z,f061_child,f061_browser_visibility,,,hidden,0,auth_confirmed
2026-05-14T00:08:27Z,f061_child,f061_browser_visibility,,,visible,0,amazon_dashboard_login_required
2026-05-14T00:10:24Z,f061_child,f061_browser_visibility,,,hidden,0,auth_confirmed
2026-05-14T00:10:31Z,f061_child,f061_browser_visibility,,,visible,0,amazon_dashboard_login_required
2026-05-13T23:58:20Z,fpm_live_20260513T124020Z,scanner_chunk,stax,fpm_stax_20260512T195116Z,success,25,pending_after=12199
2026-05-13T23:58:20Z,fpm_live_20260513T124020Z,f061_memory_import,stax,fpm_stax_20260512T195116Z,success,4935,processed_rows=4924;memory_rows=33534
2026-05-14T00:12:37Z,f061_child,f061_browser_visibility,,,hidden,0,auth_confirmed
2026-05-14T00:12:42Z,f061_child,f061_browser_visibility,,,visible,0,amazon_dashboard_login_required
2026-05-14T00:14:30Z,f061_child,f061_browser_visibility,,,hidden,0,auth_confirmed
2026-05-14T00:14:36Z,f061_child,f061_browser_visibility,,,visible,0,amazon_dashboard_login_required
2026-05-14T00:11:30Z,fpm_live_20260513T124020Z,scanner_chunk,stax,fpm_stax_20260512T195116Z,success,25,pending_after=12174
2026-05-14T00:11:30Z,fpm_live_20260513T124020Z,f061_memory_import,stax,fpm_stax_20260512T195116Z,success,4961,processed_rows=4950;memory_rows=33559
2026-05-14T00:19:23Z,f061_child,f061_browser_visibility,,,hidden,0,auth_confirmed
2026-05-14T00:19:30Z,f061_child,f061_browser_visibility,,,visible,0,amazon_dashboard_login_required
2026-05-14T00:20:21Z,f061_child,f061_browser_visibility,,,hidden,0,auth_confirmed
2026-05-14T00:20:28Z,f061_child,f061_browser_visibility,,,visible,0,amazon_dashboard_login_required
2026-05-14T00:22:45Z,f061_child,f061_browser_visibility,,,hidden,0,auth_confirmed
2026-05-14T00:22:53Z,f061_child,f061_browser_visibility,,,visible,0,amazon_dashboard_login_required
2026-05-14T00:24:48Z,f061_child,f061_browser_visibility,,,hidden,0,auth_confirmed
2026-05-14T00:24:53Z,f061_child,f061_browser_visibility,,,visible,0,amazon_dashboard_login_required
2026-05-14T00:27:40Z,f061_child,f061_browser_visibility,,,hidden,0,auth_confirmed
2026-05-14T00:27:47Z,f061_child,f061_browser_visibility,,,visible,0,amazon_dashboard_login_required
2026-05-14T00:17:17Z,fpm_live_20260513T124020Z,scanner_chunk,stax,fpm_stax_20260512T195116Z,success,25,pending_after=12149
2026-05-14T00:17:17Z,fpm_live_20260513T124020Z,f061_memory_import,stax,fpm_stax_20260512T195116Z,success,4986,processed_rows=4975;memory_rows=33584
2026-05-14T00:30:54Z,f061_child,f061_browser_visibility,,,hidden,0,auth_confirmed
2026-05-14T00:31:01Z,f061_child,f061_browser_visibility,,,visible,0,amazon_dashboard_login_required
2026-05-14T00:32:55Z,f061_child,f061_browser_visibility,,,hidden,0,auth_confirmed
2026-05-14T00:33:02Z,f061_child,f061_browser_visibility,,,visible,0,amazon_dashboard_login_required
2026-05-14T00:28:51Z,fpm_live_20260513T124020Z,scanner_chunk,stax,fpm_stax_20260512T195116Z,success,25,pending_after=12124
2026-05-14T00:28:51Z,fpm_live_20260513T124020Z,f061_memory_import,stax,fpm_stax_20260512T195116Z,success,5011,processed_rows=5000;memory_rows=33609
2026-05-14T00:38:11Z,f061_child,f061_browser_visibility,,,hidden,0,auth_confirmed
2026-05-14T00:38:20Z,f061_child,f061_browser_visibility,,,visible,0,amazon_dashboard_login_required
2026-05-14T00:34:06Z,fpm_live_20260513T124020Z,scanner_chunk,stax,fpm_stax_20260512T195116Z,success,25,pending_after=12099
2026-05-14T00:34:06Z,fpm_live_20260513T124020Z,f061_memory_import,stax,fpm_stax_20260512T195116Z,success,5036,processed_rows=5025;memory_rows=33634
2026-05-14T00:42:42Z,f061_child,f061_browser_visibility,,,hidden,0,auth_confirmed
2026-05-14T00:42:50Z,f061_child,f061_browser_visibility,,,visible,0,amazon_dashboard_login_required
2026-05-14T00:45:09Z,f061_child,f061_browser_visibility,,,hidden,0,auth_confirmed
2026-05-14T00:45:17Z,f061_child,f061_browser_visibility,,,visible,0,amazon_dashboard_login_required
2026-05-14T00:40:33Z,fpm_live_20260513T124020Z,scanner_chunk,stax,fpm_stax_20260512T195116Z,success,25,pending_after=12074
2026-05-14T00:40:33Z,fpm_live_20260513T124020Z,f061_memory_import,stax,fpm_stax_20260512T195116Z,success,5062,processed_rows=5051;memory_rows=33660
2026-05-14T00:50:26Z,f061_child,f061_browser_visibility,,,hidden,0,auth_confirmed
2026-05-14T00:50:33Z,f061_child,f061_browser_visibility,,,visible,0,amazon_dashboard_login_required
2026-05-14T00:46:15Z,fpm_live_20260513T124020Z,scanner_chunk,stax,fpm_stax_20260512T195116Z,success,25,pending_after=12049
