event_ts_utc,sku,our_delivery_penalty_gbp,compliance_ceiling_landed_gbp,eligibility_ceiling_landed_gbp,demand_ceiling_landed_gbp,final_ceiling_landed_gbp,binding_ceiling_type,ceiling_reason_codes_json
2026-02-14T07:47:51Z,JB-RGB6-LZOJ,,5.97,6.15,9.99,5.97,COMPLIANCE,"[""BINDING_CEILING_COMPLIANCE""]"
2026-02-14T08:02:55Z,JB-RGB6-LZOJ,,5.97,6.15,9.99,5.97,COMPLIANCE,"[""BINDING_CEILING_COMPLIANCE""]"
2026-02-14T08:17:59Z,JB-RGB6-LZOJ,,5.97,6.15,9.99,5.97,COMPLIANCE,"[""BINDING_CEILING_COMPLIANCE""]"
2026-02-14T08:33:03Z,JB-RGB6-LZOJ,,5.97,6.15,9.99,5.97,COMPLIANCE,"[""BINDING_CEILING_COMPLIANCE""]"
2026-02-14T08:48:07Z,JB-RGB6-LZOJ,,5.97,6.15,9.99,5.97,COMPLIANCE,"[""BINDING_CEILING_COMPLIANCE""]"
2026-02-14T09:03:11Z,JB-RGB6-LZOJ,,5.97,6.15,9.99,5.97,COMPLIANCE,"[""BINDING_CEILING_COMPLIANCE""]"
2026-02-14T09:18:15Z,JB-RGB6-LZOJ,,5.97,6.15,9.99,5.97,COMPLIANCE,"[""BINDING_CEILING_COMPLIANCE""]"
2026-02-14T09:33:21Z,JB-RGB6-LZOJ,,5.97,6.15,9.99,5.97,COMPLIANCE,"[""BINDING_CEILING_COMPLIANCE""]"
2026-02-14T09:48:25Z,JB-RGB6-LZOJ,,5.97,6.15,9.99,5.97,COMPLIANCE,"[""BINDING_CEILING_COMPLIANCE""]"
2026-02-14T10:03:32Z,JB-RGB6-LZOJ,,5.97,6.15,9.99,5.97,COMPLIANCE,"[""BINDING_CEILING_COMPLIANCE""]"
2026-02-14T10:18:37Z,JB-RGB6-LZOJ,,5.97,6.15,9.99,5.97,COMPLIANCE,"[""BINDING_CEILING_COMPLIANCE""]"
2026-02-14T10:33:41Z,JB-RGB6-LZOJ,,5.97,6.15,9.99,5.97,COMPLIANCE,"[""BINDING_CEILING_COMPLIANCE""]"
2026-02-14T10:48:46Z,JB-RGB6-LZOJ,,5.97,6.15,7.49,5.97,COMPLIANCE,"[""BINDING_CEILING_COMPLIANCE""]"
2026-02-14T11:03:50Z,JB-RGB6-LZOJ,,5.97,6.15,7.49,5.97,COMPLIANCE,"[""BINDING_CEILING_COMPLIANCE""]"
2026-02-14T11:18:57Z,JB-RGB6-LZOJ,,5.97,6.15,7.49,5.97,COMPLIANCE,"[""BINDING_CEILING_COMPLIANCE""]"
2026-02-14T11:34:01Z,JB-RGB6-LZOJ,,5.97,6.15,7.49,5.97,COMPLIANCE,"[""BINDING_CEILING_COMPLIANCE""]"
