seller_sku,allocated,available,returned_pending,unsellable,warehouse,order_qty,allocated_qty,unallocated_qty,asin,fnsku,condition,inventory_status,inventory_total_quantity,in_stock_supply_quantity,inbound_working,inventory_inbound_shipped,inventory_inbound_receiving,inventory_available,inventory_unsellable,reserved_transfers,reserved_processing,reserved_customer,last_updated_time,inventory_inbound,refund_events,stock_adjustment_events,token_total,available_tokens,warehouse_tokens,unsellable_tokens,returned_pending_tokens,ready_to_allocate,delta_inbound_vs_tokens,report_ts
BB-ZT14-1QQA,10,0,0,0,0,10,0,10,B086MBW9R9,X002B1NKXX,NewItem,,0.0,0,0,0.0,0.0,0,0,0,0,0,2025-12-12T01:10:45Z,0,0,0,10,0,0,0,0,False,0,2026-01-20T13:24:57Z
BL-WX51-KQOK,2,6,0,0,0,2,0,2,B0897VHKW6,X002AQ3LX3,NewItem,,6.0,6,0,0.0,0.0,6,0,0,0,0,2026-01-16T20:37:31Z,0,0,0,8,6,0,0,0,True,0,2026-01-20T13:24:57Z
BQ-O3OI-FTJU,35,0,1,0,1,36,0,36,B01CKK8CU2,X0021K3PG1,NewItem,,2.0,1,0,0.0,0.0,1,0,0,1,0,2026-01-20T09:13:08Z,0,1,186,37,0,1,0,1,False,1,2026-01-20T13:24:57Z
CJ-X0SS-QOUW,3,9,0,0,0,3,0,3,B0CG234KW1,X002B7TIKL,NewItem,,9.0,9,0,0.0,0.0,9,0,0,0,0,2026-01-15T16:48:31Z,0,0,0,12,9,0,0,0,True,0,2026-01-20T13:24:57Z
CX-SMCH-4DYA,3,7,0,0,0,3,0,3,B0012B80HG,X002CJPDFR,NewItem,,7.0,7,0,0.0,0.0,7,0,0,0,0,2026-01-16T09:37:24Z,0,0,0,10,7,0,0,0,True,0,2026-01-20T13:24:57Z
CY-5VNG-I5M8,2,0,0,0,0,2,0,2,B07Y354HMP,X002F6T763,NewItem,,0.0,0,0,0.0,0.0,0,0,0,0,0,2025-11-18T00:33:43Z,0,0,0,2,0,0,0,0,False,0,2026-01-20T13:24:57Z
D0-C7C0-H6LN,3,19,0,0,0,3,0,3,B07F1MFWV1,X002BG3AK1,NewItem,,19.0,19,0,0.0,0.0,19,0,0,0,0,2026-01-17T21:40:25Z,0,0,0,22,19,0,0,0,True,0,2026-01-20T13:24:57Z
D2-8SPY-Q095,11,2,0,0,0,11,0,11,B0052VXJGO,X0028A4L7L,NewItem,,2.0,2,0,0.0,0.0,2,0,0,0,0,2026-01-13T10:29:41Z,0,0,0,13,2,0,0,0,False,0,2026-01-20T13:24:57Z
D7-MGBX-RX2P,88,0,0,0,0,88,0,88,B001Q77TI2,X0021O4AW5,NewItem,,0.0,0,0,0.0,0.0,0,0,0,0,0,2026-01-02T18:04:09Z,0,0,4,88,0,0,0,0,False,0,2026-01-20T13:24:57Z
D8-1A3E-I37F,1,8,0,0,0,1,0,1,B001ET78RY,X002AQ0W1H,NewItem,,8.0,8,0,0.0,0.0,8,0,0,0,0,2026-01-16T20:29:43Z,0,0,0,9,8,0,0,0,True,0,2026-01-20T13:24:57Z
