Timestamp,ASIN,SKU,FBA/FBM Stock,Reserved,Sent  to FBA
10/27/2024 3:02:06,B0913SVFD3,MY-KL21-NMV5,11,20,0
10/27/2024 3:02:06,B0D2Y4NPKZ,GD-B8SW-1PCP,8,0,0
10/27/2024 3:02:06,B09BR88BPW,09-CZ59-Q6OR,8,0,0
10/27/2024 3:02:06,B01N273YMX,RY-2DTP-16YZ,42,0,0
10/27/2024 3:02:06,B07WGHTLLL,V0-8QPG-0A04,2,0,0
10/27/2024 3:02:06,B000FPYPM4,EQ-EZL7-FAU3,59,0,0
10/27/2024 3:02:06,B0BLQRDTLL,1W-8WI9-7AUU,18,0,0
10/27/2024 3:02:06,B07BC5K5W5,BM-1O5E-RW8I,58,1,0
10/27/2024 3:02:06,786964502,3Q-JVVB-BIT7,7,2,0
10/27/2024 3:02:06,B00N5SLQ7A,GW-1ECO-QZA7,20,0,0
10/27/2024 3:02:06,B01JM7KWSG,X6-7E52-0VB3,23,0,30
10/27/2024 3:02:06,B09DL7M3NJ,Z3-HICR-CPBW,29,0,0
10/27/2024 3:02:06,B07QLML4ZG,I5-DDJZ-N4EF,11,0,0
10/27/2024 3:02:06,B07RX3FCV7,QM-QAGK-D2UQ,8,6,0
10/27/2024 3:02:06,B09SBGM9Q8,IO-9ZD2-3HDO,28,0,0
10/27/2024 3:02:06,B0C9J86XCZ,U1-M5BM-8F5W,31,0,0
10/27/2024 3:02:06,B0074JFW3A,KR-H2ZK-DRS7,61,0,0
10/27/2024 3:02:06,B0002TT36Q,W3-H7LU-CTRI,6,0,0
10/27/2024 3:02:06,B014G545T6,9H-K7TV-V6NU,33,0,0
10/27/2024 3:02:06,B07NH5TQSF,NY-AI90-84GR,10,0,0
10/27/2024 3:02:06,B08WX4Y25G,H0-BYHY-BTUT,36,0,0
10/27/2024 3:02:06,B08WYJM23V,T0-4R2M-4BLV,11,0,0
10/27/2024 3:02:06,B0009JJZ8A,GK-YI4S-C158,14,0,0
10/27/2024 3:02:06,B07BC5H5Q6,YP-C2ZB-ES8H,12,0,0
10/27/2024 3:02:06,B08MW8XMNQ,5Z-6Z0P-9TQQ,18,0,0
10/27/2024 3:02:06,B08WYDVF97,66-6EUM-PSH8,7,0,0
10/27/2024 3:02:06,B0D3JD4FFD,DV-USYD-8WR2,17,1,0
10/27/2024 3:02:06,B000FPU2SK,TK-E7QE-T40G,27,1,0
10/27/2024 3:02:06,B00284EJ3K,B7-9S5E-KOHG,49,0,0
10/27/2024 3:02:06,B0044P0MHS,S8-3SXM-Y0JF,4,0,0
10/27/2024 3:02:06,B00DI2B8IU,3Z-S01D-H4GA,15,0,0
10/27/2024 3:02:06,B00R6C2JPO,B2-5FFM-153A,12,0,0
10/27/2024 3:02:06,B07772WMSM,8T-HE78-3AQ3,21,2,0
10/27/2024 3:02:06,B07978WZ4L,2S-T29M-BDIZ,6,0,0
10/27/2024 3:02:06,B07RXCFY28,ZJ-9IR6-7M3A,16,0,0
10/27/2024 3:02:06,B0864N9WBR,TX-7TYN-NVF4,6,0,0
10/27/2024 3:02:06,B08FMRRD53,NB-UWOU-68PW,58,1,0
10/27/2024 3:02:06,B08FR6S7CD,K2-VE7K-V9TU,14,0,0
10/27/2024 3:02:06,B0B6GC25G1,3V-HQSI-8QRU,2,0,0
10/27/2024 3:02:06,B0B6GD6QF8,94-X6R7-SCOW,1,0,0
10/27/2024 3:02:06,B0BLRF1Q55,7W-PCZV-CX51,10,0,0
10/27/2024 3:02:06,B0CHBQ7M5H,8N-DRTH-Z7K0,15,0,0
10/27/2024 3:02:06,B0CKS4H64X,MY-85FY-TSON,18,0,0
10/27/2024 3:02:06,B0D3JBV3MY,ZU-VG38-OF3L,10,0,0
10/27/2024 3:02:06,B0012B4EXK,R4-IXFX-2AQQ,24,0,0
10/27/2024 3:02:06,B002BWSZS4,IB-PMXX-S0AE,25,0,0
10/27/2024 3:02:06,B002ZTVMDI,1A-S381-J09C,11,0,0
10/27/2024 3:02:06,B0037B0C66,K5-QUBI-YTWD,28,0,0
10/27/2024 3:02:06,B003TYWR5K,0C-AOG2-B23Z,30,0,0
10/27/2024 3:02:06,B004I2N5AS,L3-ZQ8U-A7LQ,10,0,0
10/27/2024 3:02:06,B00B2KJ59Y,UR-W905-8D8D,24,0,3
10/27/2024 3:02:06,B00CRGM45O,10-JQEP-V8I7,14,0,0
10/27/2024 3:02:06,B00CUB7726,T7-NZWY-R44R,30,0,0
10/27/2024 3:02:06,B00D1V5FPU,8M-LM6B-F2Q5,2,0,0
10/27/2024 3:02:06,B00D1V5NWK,EA-FZ2V-D7II,8,0,0
10/27/2024 3:02:06,B00FAQCE08,XB-PLFM-VNLX,15,0,0
10/27/2024 3:02:06,B00O3XUG5E,1D-E3I8-TUK8,30,0,0
10/27/2024 3:02:06,B00TQ5KPNC,9C-ZLCN-WWGK,10,0,0
10/27/2024 3:02:06,B00YPA854Y,1C-WYGV-IW8O,25,0,0
10/27/2024 3:02:06,B015ALFA12,EI-2WXL-O395,9,0,0
10/27/2024 3:02:06,B01H10I0P8,YF-KP66-IJY6,139,0,0
10/27/2024 3:02:06,B01H8QP2II,RF-3X39-FYXB,8,0,0
10/27/2024 3:02:06,B01N31JDVX,02-7AZG-O0CV,11,0,0
10/27/2024 3:02:06,B076RY52XG,R0-ODDX-WROO,8,0,0
10/27/2024 3:02:06,B07BC1CMDK,A1-KSU1-GZMS,30,0,0
10/27/2024 3:02:06,B07BC5J1WW,OI-0483-CBVX,9,1,0
10/27/2024 3:02:06,B07DFCXCQF,MF-FBAW-SRXY,11,7,0
10/27/2024 3:02:06,B07QNL4BNM,94-7TOA-9ZBH,11,0,0
10/27/2024 3:02:06,B07QNL62Z2,XL-BFPF-CBW4,9,0,0
10/27/2024 3:02:06,B07QQTBK5K,YB-8YQ7-X1X8,12,0,0
10/27/2024 3:02:06,B07QRP7V6V,55-5RSU-1KG1,6,0,0
10/27/2024 3:02:06,B081SWVG5H,UE-IIJJ-P6EL,43,0,0
10/27/2024 3:02:06,B086763VT8,GA-9DTN-9O1E,10,0,0
10/27/2024 3:02:06,B089B7YDRN,46-MOBK-YBS1,11,1,0
10/27/2024 3:02:06,B08CVTBP81,UT-WXOQ-6CZL,27,0,0
10/27/2024 3:02:06,B08F8MQT1G,7R-DKJR-F0UF,11,0,0
10/27/2024 3:02:06,B08G4Q5KK8,D3-R4XE-XV0R,4,0,0
10/27/2024 3:02:06,B08T5WCLF2,SH-RGTH-QQM2,5,0,0
10/27/2024 3:02:06,B09LHXLGKD,OO-KLJU-ZBO9,7,0,0
10/27/2024 3:02:06,B09YRX2HGZ,JE-NHAA-HEYR,51,0,0
10/27/2024 3:02:06,B0BWFT5RGN,0X-VJWI-4OT8,12,0,0
10/27/2024 3:02:06,B0C4S2Y186,EO-RQ6J-PAPY,6,0,0
