timestamp_utc,step,status,severity,mode,local_rows,sheet_rows,note
2026-02-18T18:08:53Z,B007_allocate_tokens_live,ok,ok,local_fallback,9638,,no_new_allocations
2026-02-18T18:14:44Z,B007_allocate_tokens_live,ok,ok,local_fallback,9638,,no_new_allocations
2026-02-18T18:17:22Z,B030_sync_token_allocations_from_sheet,ok,ok,sheet_sync_skipped_local_newer,7776,7480,local_newer_than_sheet
2026-02-18T18:17:24Z,B007_allocate_tokens_live,ok,ok,local_fallback,9638,,no_new_allocations
2026-02-18T18:20:37Z,B030_sync_token_allocations_from_sheet,ok,ok,sheet_sync_skipped_local_newer,7776,7480,local_newer_than_sheet
2026-02-18T18:20:39Z,B007_allocate_tokens_live,ok,ok,local_fallback,9638,,no_new_allocations
2026-02-18T18:24:05Z,B030_sync_token_allocations_from_sheet,ok,ok,sheet_sync_skipped_local_newer,7776,7480,local_newer_than_sheet
2026-02-18T18:24:07Z,B007_allocate_tokens_live,ok,ok,local_fallback,9638,,no_new_allocations
2026-02-18T18:27:31Z,B030_sync_token_allocations_from_sheet,ok,ok,sheet_sync_skipped_local_newer,7776,7480,local_newer_than_sheet
2026-02-18T18:27:33Z,B007_allocate_tokens_live,ok,ok,local_fallback,9638,,no_new_allocations
2026-02-18T18:31:54Z,B030_sync_token_allocations_from_sheet,ok,ok,sheet_sync_skipped_local_newer,7776,7480,local_newer_than_sheet
2026-02-18T18:31:56Z,B007_allocate_tokens_live,ok,ok,local_fallback,9638,,no_new_allocations
2026-02-18T18:35:37Z,B030_sync_token_allocations_from_sheet,ok,ok,sheet_sync_skipped_local_newer,7776,7480,local_newer_than_sheet
2026-02-18T18:35:39Z,B007_allocate_tokens_live,ok,ok,local_fallback,9638,,no_new_allocations
2026-02-18T18:38:48Z,B030_sync_token_allocations_from_sheet,ok,ok,sheet_sync_skipped_local_newer,7776,7480,local_newer_than_sheet
2026-02-18T18:38:50Z,B007_allocate_tokens_live,ok,ok,local_fallback,9638,,allocation_complete
2026-02-18T18:42:14Z,B030_sync_token_allocations_from_sheet,ok,ok,sheet_sync_skipped_local_newer,7777,7480,local_newer_than_sheet
2026-02-18T18:42:16Z,B007_allocate_tokens_live,ok,ok,local_fallback,9638,,allocation_complete
2026-02-18T18:45:40Z,B030_sync_token_allocations_from_sheet,ok,ok,sheet_sync_skipped_local_newer,7778,7480,local_newer_than_sheet
2026-02-18T18:45:42Z,B007_allocate_tokens_live,ok,ok,local_fallback,9638,,no_new_allocations
2026-02-18T18:49:07Z,B030_sync_token_allocations_from_sheet,ok,ok,sheet_sync_skipped_local_newer,7778,7480,local_newer_than_sheet
2026-02-18T18:49:09Z,B007_allocate_tokens_live,ok,ok,local_fallback,9638,,no_new_allocations
2026-02-18T18:52:24Z,B030_sync_token_allocations_from_sheet,ok,ok,sheet_sync_skipped_local_newer,7778,7480,local_newer_than_sheet
2026-02-18T18:52:26Z,B007_allocate_tokens_live,ok,ok,local_fallback,9638,,no_new_allocations
2026-02-18T18:55:46Z,B030_sync_token_allocations_from_sheet,ok,ok,sheet_sync_skipped_local_newer,7778,7480,local_newer_than_sheet
2026-02-18T18:55:48Z,B007_allocate_tokens_live,ok,ok,local_fallback,9638,,no_new_allocations
2026-02-18T18:59:15Z,B030_sync_token_allocations_from_sheet,ok,ok,sheet_sync_skipped_local_newer,7778,7480,local_newer_than_sheet
2026-02-18T18:59:17Z,B007_allocate_tokens_live,ok,ok,local_fallback,9638,,no_new_allocations
2026-02-18T19:02:31Z,B030_sync_token_allocations_from_sheet,ok,ok,sheet_sync_skipped_local_newer,7778,7480,local_newer_than_sheet
2026-02-18T19:02:33Z,B007_allocate_tokens_live,ok,ok,local_fallback,9638,,no_new_allocations
2026-02-18T19:05:56Z,B030_sync_token_allocations_from_sheet,ok,ok,sheet_sync_skipped_local_newer,7778,7480,local_newer_than_sheet
2026-02-18T19:05:58Z,B007_allocate_tokens_live,ok,ok,local_fallback,9638,,no_new_allocations
2026-02-18T19:10:18Z,B030_sync_token_allocations_from_sheet,ok,ok,sheet_sync_skipped_local_newer,7778,7480,local_newer_than_sheet
2026-02-18T19:10:20Z,B007_allocate_tokens_live,ok,ok,local_fallback,9638,,no_new_allocations
2026-02-18T19:16:16Z,B007_allocate_tokens_live,ok,ok,local_fallback,9638,,no_new_allocations
2026-02-18T19:19:29Z,B030_sync_token_allocations_from_sheet,ok,ok,sheet_sync_skipped_local_newer,7778,7480,local_newer_than_sheet
2026-02-18T19:19:31Z,B007_allocate_tokens_live,ok,ok,local_fallback,9638,,no_new_allocations
2026-02-18T19:22:47Z,B030_sync_token_allocations_from_sheet,ok,ok,sheet_sync_skipped_local_newer,7778,7480,local_newer_than_sheet
2026-02-18T19:22:49Z,B007_allocate_tokens_live,ok,ok,local_fallback,9638,,allocation_complete
2026-02-18T19:26:04Z,B030_sync_token_allocations_from_sheet,ok,ok,sheet_sync_skipped_local_newer,7779,7480,local_newer_than_sheet
2026-02-18T19:26:06Z,B007_allocate_tokens_live,ok,ok,local_fallback,9638,,no_new_allocations
2026-02-18T19:29:29Z,B030_sync_token_allocations_from_sheet,ok,ok,sheet_sync_skipped_local_newer,7779,7480,local_newer_than_sheet
2026-02-18T19:29:31Z,B007_allocate_tokens_live,ok,ok,local_fallback,9638,,no_new_allocations
2026-02-18T19:32:54Z,B030_sync_token_allocations_from_sheet,ok,ok,sheet_sync_skipped_local_newer,7779,7480,local_newer_than_sheet
2026-02-18T19:32:57Z,B007_allocate_tokens_live,ok,ok,local_fallback,9638,,no_new_allocations
2026-02-18T19:36:23Z,B030_sync_token_allocations_from_sheet,ok,ok,sheet_sync_skipped_local_newer,7779,7480,local_newer_than_sheet
