report_utc,supplier_name,supplier_code,rows_total,rows_action_candidate,rows_action_ready,rows_blocked,rows_missing_cost_truth,rows_missing_market_truth,rows_missing_demand_truth,rows_wait_suggested,rows_snoozed,rows_missing_qty_prefill,rows_missing_cost_prefill,rows_missing_image
2026-05-19T12:39:03Z,Heo,FK64036,1,0,0,1,1,0,1,1,0,1,1,0
2026-05-19T12:39:03Z,Heo,FK67424,1,0,0,1,0,1,1,1,0,1,0,0
2026-05-19T12:39:03Z,Heo,FK67426,1,0,0,1,1,0,1,1,0,1,1,0
2026-05-19T12:39:03Z,Heo,FK72333,1,0,0,1,1,0,1,1,0,1,1,0
2026-05-19T12:39:03Z,Heo,FK73022,1,0,0,1,0,1,1,1,0,1,0,0
2026-05-19T12:39:03Z,Heo,FK73090,1,0,0,1,1,0,1,1,0,1,1,0
2026-05-19T12:39:03Z,Heo,FK73415,1,0,0,1,0,1,1,1,0,1,0,0
2026-05-19T12:39:03Z,Heo,FK75274,1,0,0,1,1,0,1,1,0,1,1,0
2026-05-19T12:39:03Z,Heo,FK79749,1,0,0,1,1,0,1,1,0,1,1,0
2026-05-19T12:39:03Z,Heo,HASF9987,1,0,0,1,0,1,1,1,0,1,0,0
2026-05-19T12:39:03Z,Heo,HASF9991,1,0,0,1,0,1,1,1,0,1,0,0
2026-05-19T12:39:03Z,Heo,HPE560165,1,0,0,1,1,0,0,1,0,1,1,0
2026-05-19T12:39:03Z,Heo,MCF15193,1,0,0,1,1,0,1,1,0,1,1,0
2026-05-19T12:39:03Z,Heo,NMR52536,1,0,0,1,0,1,1,1,0,1,0,0
2026-05-19T12:39:03Z,Heo,NMR65370,1,0,0,1,1,0,1,1,0,1,1,0
2026-05-19T12:39:03Z,Heo,UGD010696,1,0,0,1,0,0,1,1,0,1,0,0
2026-05-19T12:39:03Z,Heo,UGD011356,1,0,0,1,0,1,1,1,0,1,0,0
2026-05-19T12:39:03Z,Heo,WST503,1,0,0,1,0,1,1,1,0,1,0,0
2026-05-19T12:39:03Z,Heo,WST568,1,0,0,1,0,1,1,1,0,1,0,0
2026-05-19T12:39:03Z,Infinity Foods,,2,0,0,2,2,2,2,2,0,2,2,0
2026-05-19T12:39:03Z,Jones Wholesale,,4,0,0,4,4,4,4,4,0,4,4,0
2026-05-19T12:39:03Z,Jones Wholesale,1000759,1,0,0,1,0,0,1,1,0,1,0,0
2026-05-19T12:39:03Z,Jones Wholesale,109754,1,0,0,1,1,0,1,1,0,1,1,0
2026-05-19T12:39:03Z,Jones Wholesale,216090,1,0,0,1,1,0,1,1,0,1,1,0
2026-05-19T12:39:03Z,Jones Wholesale,229237,1,0,0,1,0,1,1,1,0,1,0,0
2026-05-19T12:39:03Z,Jones Wholesale,416645,1,0,0,1,1,0,1,1,0,1,1,0
2026-05-19T12:39:03Z,Jones Wholesale,446271,1,0,0,1,1,0,1,1,0,1,1,0
2026-05-19T12:39:03Z,Jones Wholesale,449066,1,0,0,1,0,1,1,1,0,1,0,0
2026-05-19T12:39:03Z,Jones Wholesale,456390,1,0,0,1,1,0,1,1,0,1,1,0
2026-05-19T12:39:03Z,Jones Wholesale,479182,1,0,0,1,1,0,1,1,0,1,1,0
2026-05-19T12:39:03Z,Jones Wholesale,497891,1,0,0,1,1,0,1,1,0,1,1,0
2026-05-19T12:39:03Z,Jones Wholesale,505534,1,0,0,1,1,0,1,1,0,1,1,0
2026-05-19T12:39:03Z,Jones Wholesale,62104,1,0,0,1,1,0,1,1,0,1,1,0
2026-05-19T12:39:03Z,Knights Fragrances,,6,0,0,6,6,6,6,6,0,6,6,0
2026-05-19T12:39:03Z,Knights Fragrances,PAG93,1,0,0,1,0,1,1,1,0,1,0,0
2026-05-19T12:39:03Z,Mark Up Wholesale,,1,0,0,1,1,1,1,1,0,1,1,0
2026-05-19T12:39:03Z,Murrays Health and Beauty,,6,0,0,6,4,6,6,6,0,6,4,2
2026-05-19T12:39:03Z,Murrays Health and Beauty,MT411134,1,0,0,1,1,0,1,1,0,1,1,0
2026-05-19T12:39:03Z,Murrays Health and Beauty,NK701236SP,1,0,0,1,0,1,1,1,0,1,0,0
2026-05-19T12:39:03Z,Party Wholesale,,1,0,0,1,1,1,1,1,0,1,1,0
2026-05-19T12:39:03Z,Party Wholesalers,,4,0,0,4,4,0,4,4,0,4,4,0
2026-05-19T12:39:03Z,Peak Dale Products,,1,0,0,1,1,1,1,1,0,1,1,0
