asof_utc,sku,asin,sale_status,merchant_status,in_stock_flag,writer_mode,parked_flag,park_reason_codes,cpt_tier
2026-02-18T06:42:51Z,J7-QL4P-4SOM,,dropped,,0,READ_ONLY,1,PARK_MERCHANT_INACTIVE|PARK_NO_LISTING_ROW|PARK_OUT_OF_STOCK|PARK_SALE_STATUS_DROPPED,PARKED
2026-02-18T06:42:51Z,JA-LKQX-7YEN,,dropped,,0,READ_ONLY,1,PARK_MERCHANT_INACTIVE|PARK_NO_LISTING_ROW|PARK_OUT_OF_STOCK|PARK_SALE_STATUS_DROPPED,PARKED
2026-02-18T06:42:51Z,JB-RGB6-LZOJ,B0001P0DLU,active,active,1,READ_ONLY,0,,ACTIVE_READONLY
2026-02-18T06:42:51Z,JC-NYJZ-DIWR,,dropped,,0,READ_ONLY,1,PARK_MERCHANT_INACTIVE|PARK_NO_LISTING_ROW|PARK_OUT_OF_STOCK|PARK_SALE_STATUS_DROPPED,PARKED
2026-02-18T06:42:51Z,JE-D4LO-O2JD,B07JXBDGJB,active,inactive,0,READ_ONLY,1,PARK_MERCHANT_INACTIVE|PARK_NO_LISTING_ROW|PARK_OUT_OF_STOCK,PARKED
2026-02-18T06:42:51Z,JE-NHAA-HEYR,,dropped,,0,READ_ONLY,1,PARK_MERCHANT_INACTIVE|PARK_NO_LISTING_ROW|PARK_OUT_OF_STOCK|PARK_SALE_STATUS_DROPPED,PARKED
2026-02-18T06:42:51Z,JH-97NP-GJDG,B007C3KBIY,active,inactive,0,READ_ONLY,1,PARK_MERCHANT_INACTIVE|PARK_NO_LISTING_ROW|PARK_OUT_OF_STOCK,PARKED
2026-02-18T06:42:51Z,JL-VTP2-JF3Q,B07BLX7YG9,active,inactive,0,READ_ONLY,1,PARK_MERCHANT_INACTIVE|PARK_NO_LISTING_ROW|PARK_OUT_OF_STOCK,PARKED
2026-02-18T06:42:51Z,JP-9X4T-0CCC,,dropped,,0,READ_ONLY,1,PARK_MERCHANT_INACTIVE|PARK_NO_LISTING_ROW|PARK_OUT_OF_STOCK|PARK_SALE_STATUS_DROPPED,PARKED
2026-02-18T06:42:51Z,JQ-6JZ4-3GJ7,,dropped,,0,READ_ONLY,1,PARK_MERCHANT_INACTIVE|PARK_NO_LISTING_ROW|PARK_OUT_OF_STOCK|PARK_SALE_STATUS_DROPPED,PARKED
2026-02-18T06:42:51Z,JV-D1TI-6UF6,B002HY4YSQ,dropped,inactive,0,READ_ONLY,1,PARK_MERCHANT_INACTIVE|PARK_NO_LISTING_ROW|PARK_OUT_OF_STOCK|PARK_SALE_STATUS_DROPPED,PARKED
2026-02-18T06:42:51Z,JX-6USZ-SK7E,0786964502,active,inactive,0,READ_ONLY,1,PARK_MERCHANT_INACTIVE|PARK_NO_LISTING_ROW|PARK_OUT_OF_STOCK,PARKED
2026-02-18T06:42:51Z,JX-Q0XX-QBZ2,,dropped,,0,READ_ONLY,1,PARK_MERCHANT_INACTIVE|PARK_NO_LISTING_ROW|PARK_OUT_OF_STOCK|PARK_SALE_STATUS_DROPPED,PARKED
2026-02-18T06:42:51Z,JY-781R-EYHZ,B005HXLH3O,active,inactive,0,READ_ONLY,1,PARK_MERCHANT_INACTIVE|PARK_NO_LISTING_ROW|PARK_OUT_OF_STOCK,PARKED
2026-02-18T06:42:51Z,K0-71JR-UNLF,B01JL0WRI2,active,inactive,0,READ_ONLY,1,PARK_MERCHANT_INACTIVE|PARK_NO_LISTING_ROW|PARK_OUT_OF_STOCK,PARKED
2026-02-18T06:42:51Z,K2-VE7K-V9TU,B08FR6S7CD,dropped,inactive,0,READ_ONLY,1,PARK_MERCHANT_INACTIVE|PARK_NO_LISTING_ROW|PARK_OUT_OF_STOCK|PARK_SALE_STATUS_DROPPED,PARKED
2026-02-18T06:42:51Z,K5-QUBI-YTWD,B0037B0C66,dropped,inactive,0,READ_ONLY,1,PARK_MERCHANT_INACTIVE|PARK_NO_LISTING_ROW|PARK_OUT_OF_STOCK|PARK_SALE_STATUS_DROPPED,PARKED
