Order ID,SKU,Date,l3_date,amazon_order_id,purchase_date,marketplace_id,order_status,order_date
203-2652891-8082748,8L-INBX-OUTU,2025-11-02T21:44:13Z,2025-11-02 21:44:13+00:00,,,,,
026-5705734-4671529,A2-T2AC-TW3L,2025-11-02T21:50:07Z,2025-11-02 21:50:07+00:00,,,,,
202-0137648-8745171,6V-EEC1-2S9Z,2025-11-02T21:51:34Z,2025-11-02 21:51:34+00:00,,,,,
205-7522069-1964324,CY-5VNG-I5M8,2025-11-02T21:53:06Z,2025-11-02 21:53:06+00:00,,,,,
206-1368182-6767502,6V-EEC1-2S9Z,2025-11-02T21:56:11Z,2025-11-02 21:56:11+00:00,,,,,
205-3635937-5884301,XG-Z9LW-Z27Q,2025-11-02T21:56:24Z,2025-11-02 21:56:24+00:00,,,,,
026-7700276-9616368,6V-EEC1-2S9Z,2025-11-02T22:01:15Z,2025-11-02 22:01:15+00:00,,,,,
026-9810248-8264313,3T-6QPR-E2MV,2025-11-02T22:02:26Z,2025-11-02 22:02:26+00:00,,,,,
206-3421823-1524348,XH-0LAE-FQO5,2025-11-02T22:07:15Z,2025-11-02 22:07:15+00:00,,,,,
203-0288953-3596332,A2-T2AC-TW3L,2025-11-02T22:09:51Z,2025-11-02 22:09:51+00:00,,,,,
204-2684890-9922764,6V-EEC1-2S9Z,2025-11-02T22:09:53Z,2025-11-02 22:09:53+00:00,,,,,
203-6163474-3167535,A2-T2AC-TW3L,2025-11-02T22:22:02Z,2025-11-02 22:22:02+00:00,,,,,
202-9125893-2831508,A2-T2AC-TW3L,2025-11-02T22:24:20Z,2025-11-02 22:24:20+00:00,,,,,
203-3197729-6705926,A2-T2AC-TW3L,2025-11-02T22:24:54Z,2025-11-02 22:24:54+00:00,,,,,
204-1691612-0369900,A2-T2AC-TW3L,2025-11-02T22:29:22Z,2025-11-02 22:29:22+00:00,,,,,
205-0441568-0390706,7L-OT45-7LYB,2025-11-02T22:39:33Z,2025-11-02 22:39:33+00:00,,,,,
203-0021515-2140377,6V-EEC1-2S9Z,2025-11-02T22:44:51Z,2025-11-02 22:44:51+00:00,,,,,
204-3932057-4689158,AK-OB6V-HIYD,2025-11-02T22:58:48Z,2025-11-02 22:58:48+00:00,,,,,
204-3624272-4339555,AK-OB6V-HIYD,2025-11-02T22:59:58Z,2025-11-02 22:59:58+00:00,,,,,
206-2677317-0717934,6V-EEC1-2S9Z,2025-11-02T23:03:26Z,2025-11-02 23:03:26+00:00,,,,,
202-0491394-8837164,5M-QO6K-LNH0,2025-11-02T23:08:33Z,2025-11-02 23:08:33+00:00,,,,,
202-7302141-5696343,6V-EEC1-2S9Z,2025-11-02T23:10:02Z,2025-11-02 23:10:02+00:00,,,,,
202-2403024-7131519,AK-OB6V-HIYD,2025-11-02T23:14:19Z,2025-11-02 23:14:19+00:00,,,,,
204-7006710-5123556,2L-M26G-560I,2025-11-02T23:16:24Z,2025-11-02 23:16:24+00:00,,,,,
206-4672667-1732362,3B-3H3V-Z93T,2025-11-02T23:16:59Z,2025-11-02 23:16:59+00:00,,,,,
204-6280406-3044344,6V-EEC1-2S9Z,2025-11-02T23:17:27Z,2025-11-02 23:17:27+00:00,,,,,
203-8866358-8290763,6V-EEC1-2S9Z,2025-11-02T23:18:46Z,2025-11-02 23:18:46+00:00,,,,,
206-1023951-7809143,A2-T2AC-TW3L,2025-11-02T23:19:24Z,2025-11-02 23:19:24+00:00,,,,,
204-2976524-6546722,XH-0LAE-FQO5,2025-11-02T23:32:24Z,2025-11-02 23:32:24+00:00,,,,,
026-0281810-6031514,D2-8SPY-Q095,2025-11-02T23:35:40Z,2025-11-02 23:35:40+00:00,,,,,
026-8525844-7665169,6V-EEC1-2S9Z,2025-11-02T23:37:05Z,2025-11-02 23:37:05+00:00,,,,,
026-8701598-7041936,5M-QO6K-LNH0,2025-11-02T23:38:38Z,2025-11-02 23:38:38+00:00,,,,,
202-0451718-9795548,6V-EEC1-2S9Z,2025-11-02T23:40:17Z,2025-11-02 23:40:17+00:00,,,,,
026-0845163-6922741,6V-EEC1-2S9Z,2025-11-02T23:42:59Z,2025-11-02 23:42:59+00:00,,,,,
202-8969316-5977117,6V-EEC1-2S9Z,2025-11-02T23:58:47Z,2025-11-02 23:58:47+00:00,,,,,
204-3345786-8980323,PE-G94Y-4PYO,2025-11-03T00:07:12Z,2025-11-03 00:07:12+00:00,,,,,
203-0605574-8460301,SR-6OBB-WC03,2025-11-03T00:08:45Z,2025-11-03 00:08:45+00:00,,,,,
202-0608570-9569964,6V-EEC1-2S9Z,2025-11-03T00:09:15Z,2025-11-03 00:09:15+00:00,,,,,
026-6333674-2977163,A2-T2AC-TW3L,2025-11-03T00:09:26Z,2025-11-03 00:09:26+00:00,,,,,
204-3726553-3074766,7L-OT45-7LYB,2025-11-03T00:11:07Z,2025-11-03 00:11:07+00:00,,,,,
204-7718298-6137104,XH-0LAE-FQO5,2025-11-03T12:34:40Z,2025-11-03 12:34:40+00:00,,,,,
203-7272630-6137939,A2-T2AC-TW3L,2025-11-03T14:21:58Z,2025-11-03 14:21:58+00:00,,,,,
202-8943674-1865924,A2-T2AC-TW3L,2025-11-03T15:53:01Z,2025-11-03 15:53:01+00:00,,,,,
203-3396579-0762759,A2-T2AC-TW3L,2025-11-03T16:40:04Z,2025-11-03 16:40:04+00:00,,,,,
202-5631259-2695514,6V-EEC1-2S9Z,2025-11-03T17:01:25Z,2025-11-03 17:01:25+00:00,,,,,
205-4659217-5211546,6V-EEC1-2S9Z,2025-11-03T17:09:35Z,2025-11-03 17:09:35+00:00,,,,,
202-0016412-8457921,Z3-ORV9-K8XD,2025-11-03T17:19:51Z,2025-11-03 17:19:51+00:00,,,,,
204-9657572-5747530,6V-EEC1-2S9Z,2025-11-03T17:20:02Z,2025-11-03 17:20:02+00:00,,,,,
206-1378829-3590704,H4-86XG-NLX6,2025-11-03T17:25:01Z,2025-11-03 17:25:01+00:00,,,,,
026-3341257-7501968,0H-5V53-GPG4,2025-11-03T17:37:53Z,2025-11-03 17:37:53+00:00,,,,,
203-4813927-3460368,6V-EEC1-2S9Z,2025-11-03T17:39:30Z,2025-11-03 17:39:30+00:00,,,,,
202-8292027-2480324,6V-EEC1-2S9Z,2025-11-03T17:45:58Z,2025-11-03 17:45:58+00:00,,,,,
202-3964732-4710705,6V-EEC1-2S9Z,2025-11-03T17:47:36Z,2025-11-03 17:47:36+00:00,,,,,
203-1743488-0916325,A2-T2AC-TW3L,2025-11-03T18:01:54Z,2025-11-03 18:01:54+00:00,,,,,
202-6514689-5989114,6V-EEC1-2S9Z,2025-11-03T18:10:25Z,2025-11-03 18:10:25+00:00,,,,,
203-7333392-0640358,0H-5V53-GPG4,2025-11-03T18:14:40Z,2025-11-03 18:14:40+00:00,,,,,
203-0550769-0463516,A2-T2AC-TW3L,2025-11-03T18:20:24Z,2025-11-03 18:20:24+00:00,,,,,
204-7870210-8673101,3B-3H3V-Z93T,2025-11-03T18:27:02Z,2025-11-03 18:27:02+00:00,,,,,
202-5432494-6725162,UL-D0Y8-ZNI5,2025-11-03T18:43:56Z,2025-11-03 18:43:56+00:00,,,,,
205-3190412-7309937,6V-EEC1-2S9Z,2025-11-03T19:19:23Z,2025-11-03 19:19:23+00:00,,,,,
202-9149239-8561121,GH-PONH-K4WQ,2025-11-03T19:42:29Z,2025-11-03 19:42:29+00:00,,,,,
206-9900339-7330760,D2-8SPY-Q095,2025-11-03T20:02:25Z,2025-11-03 20:02:25+00:00,,,,,
203-8557342-7817112,1U-1W76-M840,2025-11-03T20:02:58Z,2025-11-03 20:02:58+00:00,,,,,
204-6754636-7508335,XH-0LAE-FQO5,2025-11-03T20:04:10Z,2025-11-03 20:04:10+00:00,,,,,
202-4530562-3467523,A2-T2AC-TW3L,2025-11-03T20:12:16Z,2025-11-03 20:12:16+00:00,,,,,
205-7249839-0075545,6V-EEC1-2S9Z,2025-11-03T20:13:56Z,2025-11-03 20:13:56+00:00,,,,,
202-7160030-9828315,BB-ZT14-1QQA,2025-11-03T20:14:44Z,2025-11-03 20:14:44+00:00,,,,,
205-8889213-1797169,6V-EEC1-2S9Z,2025-11-03T20:16:10Z,2025-11-03 20:16:10+00:00,,,,,
205-6954559-0446754,G8-L8EI-INMK,2025-11-03T20:16:37Z,2025-11-03 20:16:37+00:00,,,,,
205-8760024-0541929,6V-EEC1-2S9Z,2025-11-03T20:16:52Z,2025-11-03 20:16:52+00:00,,,,,
205-3627059-8443533,6V-EEC1-2S9Z,2025-11-03T20:17:19Z,2025-11-03 20:17:19+00:00,,,,,
205-3140498-9413969,1U-1W76-M840,2025-11-03T20:21:49Z,2025-11-03 20:21:49+00:00,,,,,
205-1327653-0650741,6V-EEC1-2S9Z,2025-11-03T20:26:07Z,2025-11-03 20:26:07+00:00,,,,,
206-9310967-5336317,A2-T2AC-TW3L,2025-11-03T20:29:56Z,2025-11-03 20:29:56+00:00,,,,,
202-0717705-4075525,0H-5V53-GPG4,2025-11-03T20:33:11Z,2025-11-03 20:33:11+00:00,,,,,
205-7527057-8202728,6V-EEC1-2S9Z,2025-11-03T20:46:35Z,2025-11-03 20:46:35+00:00,,,,,
202-3851238-0610763,NN-TSZ1-X2RD,2025-11-03T20:47:36Z,2025-11-03 20:47:36+00:00,,,,,
206-8657242-4757159,6P-IWYA-X18B,2025-11-03T20:50:32Z,2025-11-03 20:50:32+00:00,,,,,
206-2328312-3107563,6V-EEC1-2S9Z,2025-11-03T20:52:41Z,2025-11-03 20:52:41+00:00,,,,,
026-3503599-7558730,6V-EEC1-2S9Z,2025-11-03T21:09:15Z,2025-11-03 21:09:15+00:00,,,,,
204-9330645-5422719,A2-T2AC-TW3L,2025-11-03T21:15:02Z,2025-11-03 21:15:02+00:00,,,,,
026-7380850-5434753,6V-EEC1-2S9Z,2025-11-03T21:17:02Z,2025-11-03 21:17:02+00:00,,,,,
