Order ID,SKU,manual_currency,fx_rate_to_gbp,manual_price_total,manual_price_vat,manual_price_exvat,manual_shipping_total,manual_shipping_vat,manual_shipping_exvat,manual_promotion_total,manual_promotion_vat,manual_promotion_exvat,manual_fba_fee_total,manual_fba_fee_vat,manual_fba_fee_exvat,manual_commission_total,manual_commission_vat,manual_commission_exvat,manual_digital_fee_total,manual_digital_fee_vat,manual_digital_fee_exvat,sys_price_total,sys_price_vat,sys_price_exvat,sys_shipping_total,sys_shipping_vat,sys_shipping_exvat,sys_promo_total,sys_promo_vat,sys_promo_exvat,sys_fba_total,sys_fba_vat,sys_fba_exvat,sys_comm_total,sys_comm_vat,sys_comm_exvat,sys_dsf_total,sys_dsf_vat,sys_dsf_exvat,delta_manual_price_total,delta_manual_price_vat,delta_manual_price_exvat,delta_manual_shipping_total,delta_manual_shipping_vat,delta_manual_shipping_exvat
204-3764574-1853903,SU-5LQH-2DVN,0.0,1.0,8.18,1.36,6.82,0.0,0.0,0.0,0.0,0.0,0.0,-3.02,-0.5,-2.52,-1.27,-0.21,-1.06,-0.08,-0.01,-0.07,8.18,1.36,6.82,0.0,0.0,0.0,0.0,0.0,0.0,-3.02,-0.5,-2.52,-1.27,-0.21,-1.06,-0.08,-0.01,-0.07,0.0,0.0,0.0,0.0,0.0,0.0
204-6220941-7393909,WX-L5UA-UB1Q,0.0,1.0,5.87,0.98,4.89,0.0,0.0,0.0,0.0,0.0,0.0,-1.82,-0.3,-1.52,-0.91,-0.15,-0.76,-0.05,0.0,-0.05,5.87,0.98,4.89,0.0,0.0,0.0,0.0,0.0,0.0,-1.82,-0.3,-1.52,-0.91,-0.15,-0.76,-0.05,-0.01,-0.04,0.0,0.0,0.0,0.0,0.0,0.0
205-4179902-1289924,WX-L5UA-UB1Q,0.0,1.0,5.87,0.98,4.89,0.0,0.0,0.0,0.0,0.0,0.0,-1.83,-0.31,-1.52,-0.91,-0.15,-0.76,-0.06,-0.01,-0.05,5.87,0.98,4.89,0.0,0.0,0.0,0.0,0.0,0.0,-1.83,-0.31,-1.52,-0.91,-0.15,-0.76,-0.06,-0.01,-0.05,0.0,0.0,0.0,0.0,0.0,0.0
206-4646853-8024367,SU-5LQH-2DVN,0.0,1.0,8.18,1.36,6.82,0.0,0.0,0.0,0.0,0.0,0.0,-3.02,-0.5,-2.52,-1.28,-0.22,-1.06,-0.09,-0.02,-0.07,8.18,1.36,6.82,0.0,0.0,0.0,0.0,0.0,0.0,-3.02,-0.5,-2.52,-1.28,-0.21,-1.07,-0.09,-0.01,-0.08,0.0,0.0,0.0,0.0,0.0,0.0
206-9537384-7986709,WX-L5UA-UB1Q,0.0,1.0,5.87,0.98,4.89,0.0,0.0,0.0,0.0,0.0,0.0,-1.83,-0.31,-1.52,-0.91,-0.15,-0.76,-0.06,-0.01,-0.05,5.87,0.98,4.89,0.0,0.0,0.0,0.0,0.0,0.0,-1.83,-0.31,-1.52,-0.91,-0.15,-0.76,-0.06,-0.01,-0.05,0.0,0.0,0.0,0.0,0.0,0.0
204-9879523-5781124,XE-YPAI-HX9F,0.0,1.0,12.25,2.29,9.96,0.0,0.0,0.0,0.0,0.0,0.0,-1.87,0.0,-1.87,-2.15,-0.36,-1.79,-0.09,-0.01,-0.08,12.25,2.29,9.96,0.0,0.0,0.0,0.0,0.0,0.0,-1.87,-0.31,-1.56,-2.15,-0.36,-1.79,-0.09,-0.01,-0.08,0.0,0.0,0.0,0.0,0.0,0.0
202-7925719-5142763,D2-8SPY-Q095,0.0,1.0,9.92,1.65,8.27,0.0,0.0,0.0,0.0,0.0,0.0,-3.72,-0.62,-3.1,-1.79,-0.3,-1.49,-0.1,-0.01,-0.09,9.92,1.65,8.27,0.0,0.0,0.0,0.0,0.0,0.0,-3.72,-0.62,-3.1,-1.79,-0.3,-1.49,-0.1,-0.02,-0.08,0.0,0.0,0.0,0.0,0.0,0.0
206-4495253-2835556,6V-EEC1-2S9Z,0.0,1.0,8.11,1.35,6.76,0.0,0.0,0.0,0.0,0.0,0.0,-1.94,-0.32,-1.62,-1.26,-0.21,-1.05,-0.05,0.0,-0.05,8.11,1.35,6.76,0.0,0.0,0.0,0.0,0.0,0.0,-1.94,-0.32,-1.62,-1.26,-0.21,-1.05,-0.05,-0.01,-0.04,0.0,0.0,0.0,0.0,0.0,0.0
026-4398509-3197117,SU-5LQH-2DVN,0.0,1.0,8.18,1.36,6.82,0.0,0.0,0.0,0.0,0.0,0.0,-3.03,-0.51,-2.52,-1.27,-0.21,-1.06,-0.08,-0.01,-0.07,8.18,1.36,6.82,0.0,0.0,0.0,0.0,0.0,0.0,-3.03,-0.51,-2.52,-1.27,-0.21,-1.06,-0.08,-0.01,-0.07,0.0,0.0,0.0,0.0,0.0,0.0
204-8122313-4281919,6V-EEC1-2S9Z,0.0,1.0,8.11,1.35,6.76,0.0,0.0,0.0,0.0,0.0,0.0,-1.94,-0.32,-1.62,-1.26,-0.21,-1.05,-0.05,0.0,-0.05,8.11,1.35,6.76,0.0,0.0,0.0,0.0,0.0,0.0,-1.94,-0.32,-1.62,-1.26,-0.21,-1.05,-0.05,-0.01,-0.04,0.0,0.0,0.0,0.0,0.0,0.0
203-3784865-8868353,6V-EEC1-2S9Z,0.0,1.0,8.11,1.35,6.76,0.0,0.0,0.0,0.0,0.0,0.0,-1.94,-0.32,-1.62,-1.26,-0.21,-1.05,-0.07,-0.02,-0.05,8.11,1.35,6.76,0.0,0.0,0.0,0.0,0.0,0.0,-1.94,-0.32,-1.62,-1.26,-0.21,-1.05,-0.07,-0.01,-0.06,0.0,0.0,0.0,0.0,0.0,0.0
202-7434904-0586728,6V-EEC1-2S9Z,0.0,1.0,8.11,1.35,6.76,0.0,0.0,0.0,0.0,0.0,0.0,-1.95,-0.33,-1.62,-1.26,-0.21,-1.05,-0.06,-0.01,-0.05,8.11,1.35,6.76,0.0,0.0,0.0,0.0,0.0,0.0,-1.95,-0.33,-1.62,-1.26,-0.21,-1.05,-0.06,-0.01,-0.05,0.0,0.0,0.0,0.0,0.0,0.0
TOTAL,,0.0,,462.61,78.69,384.72,0.93,0.19,0.74,-0.66,-0.14,-0.52,-107.85,-16.16,-91.69,-71.5,-11.94,-59.56,-3.14,-0.51,-2.63,463.28,78.55,384.73,1.12,0.19,0.93,0.66,0.11,0.55,-107.86,-17.97,-89.89,-71.59,-11.89,-59.7,-3.14,-0.51,-2.63,-0.66,0.14,0.0,-0.19,0.0,-0.19
