order_id_norm,sb_cogs,sb_cogs_abs,Order ID,our_cogs_abs,diff
202-4979931-3097931,-2.46,2.46,202-4979931-3097931,2.73,0.27
202-4838337-5480350,-2.46,2.46,202-4838337-5480350,2.73,0.27
205-7866302-0538761,-2.46,2.46,205-7866302-0538761,2.73,0.27
205-7483966-8157143,-2.46,2.46,205-7483966-8157143,2.73,0.27
202-6203773-3880342,-2.46,2.46,202-6203773-3880342,2.73,0.27
202-3881260-6626750,-2.46,2.46,202-3881260-6626750,2.73,0.27
205-8894858-7611527,-2.46,2.46,205-8894858-7611527,2.73,0.27
205-9804324-8029946,-2.46,2.46,205-9804324-8029946,2.73,0.27
206-0039341-5201956,-2.46,2.46,206-0039341-5201956,2.73,0.27
202-5833165-2766769,-2.46,2.46,202-5833165-2766769,2.73,0.27
202-8336860-9839553,-2.46,2.46,202-8336860-9839553,2.73,0.27
202-8322770-8717938,-2.46,2.46,202-8322770-8717938,2.73,0.27
202-8142215-9326736,-2.46,2.46,202-8142215-9326736,2.73,0.27
202-8084185-9579553,-2.46,2.46,202-8084185-9579553,2.73,0.27
202-7938330-8582755,-2.46,2.46,202-7938330-8582755,2.73,0.27
202-7731013-1587558,-2.46,2.46,202-7731013-1587558,2.73,0.27
202-8298923-8974720,-2.46,2.46,202-8298923-8974720,2.73,0.27
205-7895220-3805953,-2.46,2.46,205-7895220-3805953,2.73,0.27
205-7963368-1332306,-2.46,2.46,205-7963368-1332306,2.73,0.27
202-3435746-9345120,-2.46,2.46,202-3435746-9345120,2.73,0.27
202-7479701-7109965,-2.46,2.46,202-7479701-7109965,2.73,0.27
202-4209084-8187552,-2.46,2.46,202-4209084-8187552,2.73,0.27
202-7148658-2936339,-2.46,2.46,202-7148658-2936339,2.73,0.27
202-6570021-7177961,-2.46,2.46,202-6570021-7177961,2.73,0.27
202-1978103-2734748,-2.46,2.46,202-1978103-2734748,2.73,0.27
202-1423804-0412333,-2.46,2.46,202-1423804-0412333,2.73,0.27
202-6257191-0999539,-2.46,2.46,202-6257191-0999539,2.73,0.27
206-0575608-8969930,-2.46,2.46,206-0575608-8969930,2.73,0.27
206-0046104-0141943,-2.46,2.46,206-0046104-0141943,2.73,0.27
202-1070640-9468313,-2.46,2.46,202-1070640-9468313,2.73,0.27
205-9979731-9513929,-2.46,2.46,205-9979731-9513929,2.73,0.27
026-0201591-1053910,-2.46,2.46,026-0201591-1053910,2.73,0.27
206-8307652-9096357,-2.46,2.46,206-8307652-9096357,2.73,0.27
206-7813973-3539542,-2.46,2.46,206-7813973-3539542,2.73,0.27
026-0317321-5157963,-2.46,2.46,026-0317321-5157963,2.73,0.27
026-0608252-6696319,-2.46,2.46,026-0608252-6696319,2.73,0.27
202-8452991-8344351,-2.46,2.46,202-8452991-8344351,2.73,0.27
202-8742733-5448331,-2.46,2.46,202-8742733-5448331,2.73,0.27
206-1203835-6345913,-2.46,2.46,206-1203835-6345913,2.73,0.27
206-1230263-8708355,-2.46,2.46,206-1230263-8708355,2.73,0.27
206-1385315-2513117,-2.46,2.46,206-1385315-2513117,2.73,0.27
206-1634652-2425167,-2.46,2.46,206-1634652-2425167,2.73,0.27
202-8789029-2246714,-2.46,2.46,202-8789029-2246714,2.73,0.27
202-0234313-2370743,-2.46,2.46,202-0234313-2370743,2.73,0.27
205-5207115-9769159,-2.46,2.46,205-5207115-9769159,2.73,0.27
203-0157043-6980369,-2.46,2.46,203-0157043-6980369,2.73,0.27
202-9086065-3578723,-2.46,2.46,202-9086065-3578723,2.73,0.27
202-9746229-4824304,-2.46,2.46,202-9746229-4824304,2.73,0.27
