Date,Order ID,SKU,Quantity Ordered,Price_Total,Price_VAT,Price_ExVAT,Shipping_Total,Shipping_VAT,Shipping_ExVAT,Gift_Total,Gift_VAT,Gift_ExVAT,Promotion_Total,Promotion_VAT,Promotion_ExVAT,FBA_Fee_Total,FBA_Fee_VAT,FBA_Fee_ExVAT,Commission_Total,Commission_VAT,Commission_ExVAT,Digital_Fee_Total,Digital_Fee_VAT,Digital_Fee_ExVAT
2025-11-19T11:25:26Z,026-5145746-2351567,6V-EEC1-2S9Z,1,6.80,1.13,5.67,,,,,,,0.00,0.00,0.00,,,,,,,,,
2025-11-19T11:41:20Z,026-3038081-7526719,VF-3T0K-DR5O,1,5.23,0.87,4.36,,,,,,,0.00,0.00,0.00,,,,,,,,,
2025-11-19T12:04:36Z,026-8993254-5737114,6P-IWYA-X18B,1,11.98,2.00,9.98,,,,,,,0.00,0.00,0.00,,,,,,,,,
2025-11-19T12:15:07Z,203-1675790-5920337,6V-EEC1-2S9Z,1,6.80,1.13,5.67,0.71,0.12,0.59,,,,0.00,0.00,0.00,,,,,,,,,
2025-11-19T12:29:59Z,205-7604533-1554742,XH-0LAE-FQO5,1,7.12,1.19,5.93,0.13,0.00,0.13,,,,0.00,0.00,0.00,,,,,,,,,
2025-11-19T12:40:21Z,026-5604242-4276309,6V-EEC1-2S9Z,1,6.80,1.13,5.67,,,,,,,0.00,0.00,0.00,,,,,,,,,
2025-11-19T12:48:51Z,026-7031396-0137969,NN-TSZ1-X2RD,1,9.49,1.58,7.91,,,,,,,0.00,0.00,0.00,,,,,,,,,
2025-11-19T13:12:07Z,203-9608524-7860331,WX-L5UA-UB1Q,1,5.98,1.00,4.98,,,,,,,0.00,0.00,0.00,,,,,,,,,
2025-11-19T14:07:38Z,205-9329348-6074736,6V-EEC1-2S9Z,1,6.80,1.13,5.67,,,,,,,0.00,0.00,0.00,,,,,,,,,
2025-11-19T14:18:40Z,205-8240814-5077146,6V-EEC1-2S9Z,1,6.80,1.13,5.67,,,,,,,0.00,0.00,0.00,,,,,,,,,
2025-11-19T14:34:37Z,203-7093430-1356330,WX-L5UA-UB1Q,1,5.98,1.00,4.98,,,,,,,0.00,0.00,0.00,,,,,,,,,
2025-11-19T14:37:23Z,204-4625502-3100308,XE-YPAI-HX9F,1,9.58,1.60,7.98,,,,,,,0.00,0.00,0.00,,,,,,,,,
2025-11-19T14:38:27Z,206-0953578-6368332,6V-EEC1-2S9Z,1,6.80,1.13,5.67,2.50,0.42,2.08,,,,0.00,0.00,0.00,,,,,,,,,
2025-11-19T15:33:34Z,206-5039648-1527529,NN-TSZ1-X2RD,1,9.49,1.58,7.91,,,,,,,0.00,0.00,0.00,,,,,,,,,
2025-11-19T16:30:56Z,205-6878102-1890769,6V-EEC1-2S9Z,1,6.80,1.13,5.67,,,,,,,0.00,0.00,0.00,,,,,,,,,
2025-11-19T16:36:09Z,204-8195624-0479526,WX-L5UA-UB1Q,1,5.98,1.00,4.98,,,,,,,0.00,0.00,0.00,,,,,,,,,
2025-11-19T16:55:53Z,203-0619999-7716368,6V-EEC1-2S9Z,1,6.80,1.13,5.67,,,,,,,0.00,0.00,0.00,,,,,,,,,
2025-11-19T16:58:32Z,202-6958995-9577108,D7-MGBX-RX2P,1,9.94,1.66,8.28,,,,,,,0.00,0.00,0.00,,,,,,,,,
2025-11-19T17:13:04Z,204-3474331-6912303,VF-3T0K-DR5O,1,5.21,0.87,4.34,,,,,,,0.00,0.00,0.00,,,,,,,,,
2025-11-19T18:43:29Z,204-0520166-1246768,6V-EEC1-2S9Z,1,6.80,1.13,5.67,,,,,,,0.00,0.00,0.00,,,,,,,,,
2025-11-19T18:54:15Z,205-6132648-5981141,WX-L5UA-UB1Q,1,5.98,1.00,4.98,,,,,,,0.00,0.00,0.00,,,,,,,,,
2025-11-19T19:11:26Z,026-2272494-3236350,MY-KL21-NMV5,1,39.12,6.52,32.60,,,,,,,0.00,0.00,0.00,,,,,,,,,
2025-11-19T19:53:01Z,205-6771282-7589137,MY-KL21-NMV5,1,39.12,6.52,32.60,,,,,,,0.00,0.00,0.00,,,,,,,,,
2025-11-19T19:53:19Z,204-3706886-2223519,NN-TSZ1-X2RD,1,9.49,1.58,7.91,,,,,,,0.00,0.00,0.00,,,,,,,,,
2025-11-19T20:11:05Z,205-2265895-3314766,6V-EEC1-2S9Z,1,6.80,1.13,5.67,,,,,,,0.00,0.00,0.00,,,,,,,,,
2025-11-19T20:24:58Z,202-1211434-2748312,NN-TSZ1-X2RD,2,18.98,3.16,15.82,,,,,,,0.00,0.00,0.00,,,,,,,,,
