sku,window_days,units_sold,days_in_stock_est,velocity_units_per_day,v7,v30,v90,v_blended,available,total_quantity,first_order_date,last_order_date,asof_date,window_days_roi,units_sold_roi,revenue_exvat_gbp,cogs_exvat_gbp,profit_exvat_gbp,roi_exvat,missing_cogs_units,fx_missing_units,asof_date_roi,velocity_30d,available_restock,total_quantity_restock,days_of_stock_left,reorder_flag,suggested_reorder_qty,asof_date_restock,current_token_cost_gbp,break_even_price_gbp,expected_refund_cost_per_unit_gbp,roi_at_our_price_pct,roi_at_buy_box_price_pct,profit_per_unit_gbp_30d,value_velocity_gbp_per_day
RB-82FL-T88J,30,1.0,1,1.0,,1.0,,,0,0,2026-01-23,2026-01-23,2026-02-17,30,1.0,0.0,-14.5,0.0,0.0,1,0,2026-02-17,1.0,0,0,0.0,yes,30,2026-02-17,14.5,22.259835,0.0,,,0.0,0.0
RI-VSUS-0YTD,30,2.0,4,0.5,,0.5,,,14,14,2026-02-01,2026-02-04,2026-02-17,30,2.0,0.0,-3.3,0.0,0.0,2,0,2026-02-17,0.5,14,14,28.0,no,1,2026-02-17,1.65,5.05,0.0,60.10101,46.969697,0.0,0.0
RW-AZK6-O4M2,30,0.0,0,0.0,,0.0,,,31,31,,,2026-02-17,,,,,,,,,,0.0,31,31,,no,0,2026-02-17,0.52,4.96,0.0,-216.666667,-392.948718,,
RZ-6ZL9-CZ7J,30,3.0,5,0.6,,0.6,,,47,47,2026-01-24,2026-01-28,2026-02-17,30,3.0,0.0,-7.26,0.0,0.0,3,0,2026-02-17,0.6,47,47,78.33,no,0,2026-02-17,2.42,7.913333,0.0,-86.983471,-108.333333,0.0,0.0
SC-LYFM-ORXK,30,0.0,0,0.0,,0.0,,,0,0,,,2026-02-17,,,,,,,,,,0.0,0,0,,no,0,2026-02-17,4.2,9.17,0.0,,,,
SE-IQQJ-EOU3,30,0.0,0,0.0,,0.0,,,0,0,,,2026-02-17,,,,,,,,,,0.0,0,0,,no,0,2026-02-17,10.38,14.72782,0.0,,,,
SQ-7QYT-5D5B,30,0.0,0,0.0,,0.0,,,0,0,,,2026-02-17,,,,,,,,,,0.0,0,0,,no,0,2026-02-17,1.5,4.521222,0.0,,,,
SR-6OBB-WC03,30,20.0,16,1.25,,1.25,,,0,0,2026-01-18,2026-02-02,2026-02-17,30,20.0,0.0,-57.2,0.0,0.0,20,0,2026-02-17,1.25,0,0,0.0,yes,38,2026-02-17,2.86,8.868269,0.0,,,0.0,0.0
SU-5LQH-2DVN,30,21.0,20,1.05,,1.05,,,0,0,2026-01-24,2026-02-12,2026-02-17,30,21.0,0.0,-45.99,0.0,0.0,21,0,2026-02-17,1.05,0,0,0.0,yes,32,2026-02-17,2.19,6.038528,0.0,,,0.0,0.0
SU-JM8R-2U82,30,0.0,0,0.0,,0.0,,,0,0,,,2026-02-17,,,,,,,,,,0.0,0,0,,no,0,2026-02-17,6.95,12.193333,0.0,,,,
