sku,lot_id,sent_to_fba,existing_tokens,tokens_created,cost_per_unit,order_date
4U-9ZL6-9G0Y,4U-9ZL6-9G0Y-300525-row725,576,0,576,1.2,30/05/25
RZ-6ZL9-CZ7J,RZ-6ZL9-CZ7J-300525-row724,124,0,124,2.42,30/05/25
4D-BI2L-5PZ8,4D-BI2L-5PZ8-300525-row723,6,0,6,7.35,30/05/25
CX-1R85-163Z,CX-1R85-163Z-300525-row722,32,0,32,6.5,30/05/25
6V-EEC1-2S9Z,6V-EEC1-2S9Z-220525-row718,500,0,500,2.07,22/05/25
0Z-Y60V-499R,0Z-Y60V-499R-220525-row717,6,0,6,1.92,22/05/25
XG-Z9LW-Z27Q,XG-Z9LW-Z27Q-220525-row716,24,0,24,1.89,22/05/25
VL-48KZ-J3F2,VL-48KZ-J3F2-220525-row714,63,0,63,1.04,22/05/25
UR-UAT8-4JSI,UR-UAT8-4JSI-220525-row713,97,0,97,0.83,22/05/25
D2-8SPY-Q095,D2-8SPY-Q095-220525-row712,12,0,12,2.42,22/05/25
98-MF34-BSCF,98-MF34-BSCF-220525-row709,26,0,26,3.19,22/05/25
L1-54EX-56YC,L1-54EX-56YC-220525-row707,14,0,14,5.35,22/05/25
ZU-PFDN-JSYV,ZU-PFDN-JSYV-220525-row705,9,0,9,3.76,22/05/25
2L-M26G-560I,2L-M26G-560I-200525-row703,12,0,12,13.52,20/05/25
E4-HG4R-5022,E4-HG4R-5022-200525-row701,20,0,20,2.74,20/05/25
VU-UQNN-35C8,VU-UQNN-35C8-200525-row700,6,0,6,2.0,20/05/25
D0-C7C0-H6LN,D0-C7C0-H6LN-200525-row699,12,0,12,2.74,20/05/25
L5-PF3B-WHU4,L5-PF3B-WHU4-200525-row698,6,0,6,17.5,20/05/25
UR-Q7TM-1F3I,UR-Q7TM-1F3I-200525-row691,6,0,6,7.59,20/05/25
CJ-X0SS-QOUW,CJ-X0SS-QOUW-200525-row690,12,0,12,4.16,20/05/25
3X-EXDD-TD2K,3X-EXDD-TD2K-050525-row689,10,0,10,20.57,05/05/25
L3-ZQ8U-A7LQ,L3-ZQ8U-A7LQ-140525-row688,100,0,100,3.4,14/05/25
XY-UM2X-TPS3,XY-UM2X-TPS3-140525-row687,150,0,150,4.57,14/05/25
5M-QO6K-LNH0,5M-QO6K-LNH0-140525-row686,200,0,200,2.36,14/05/25
LR-7GM6-1RCH,LR-7GM6-1RCH-140525-row685,20,0,20,23.25,14/05/25
HL-03ZR-QPHH,HL-03ZR-QPHH-140525-row684,10,0,10,3.6,14/05/25
GY-FO04-RDYL,GY-FO04-RDYL-140525-row683,10,0,10,3.6,14/05/25
DC-K5WH-R7F5,DC-K5WH-R7F5-140525-row682,160,0,160,0.63,14/05/25
SR-JF1N-II8S,SR-JF1N-II8S-140525-row681,10,0,10,1.22,14/05/25
93-TB6X-UKTU,93-TB6X-UKTU-140525-row680,20,0,20,1.69,14/05/25
4U-9ZL6-9G0Y,4U-9ZL6-9G0Y-140525-row679,576,0,576,1.2,14/05/25
3Z-45IC-N1H4,3Z-45IC-N1H4-140525-row678,90,0,90,2.4,14/05/25
0H-5V53-GPG4,0H-5V53-GPG4-572025-row677,100,0,100,4.85,5/7/2025
