asin,status,item_name,brand_name,product_type,main_image,upc,ean,gtin,parent_asin,color,size,manufacturer,part_number,model_number,package_weight_value,package_weight_unit,package_length,package_width,package_height,package_dimension_unit,item_length,item_width,item_height,item_dimension_unit,bullet_points,keywords,error
B0CJMMYYCJ,200,"Dragon Shield | Matte Dual Standard Size Card Sleeves | 100 CT - Smooth & Tough Premium TCG Sleeves - Compatible with Pokemon, Flesh & Blood, One Piece & Magic the Gathering | Justice",,CARD_DOCUMENT_SLEEVE,https://m.media-amazon.com/images/I/618q1HPqSML.jpg,,5706569150617,05706569150617,,Matte Black,Small,Arcane Tinmen ApS,,,0.141,kilograms,4.699,7.1882,10.0076,centimeters,1.9,2.8,3.7,inches,,,
B09M3RB8R1,200,Curaprox Kids Toothpaste – Ages 6+ | Watermelon Flavour | Protects Against Tooth Decay & Strengthens Enamel | 60ml Fluoride Formula | Made in Switzerland,,TOOTH_CLEANING_AGENT,https://m.media-amazon.com/images/I/61Pt1UQeqJL.jpg,,7612412429480,,,Clear,60 ml (Pack of 1),Curaden,,,0.08,kilograms,3.8,4.4,12.4,centimeters,1.7,1.45,4.9,millimeters,,,
B09NQD4S5N,200,"The Army Painter Speedpaint Zealot Yellow 2.0, Single Acrylic Paint 18ml One-coat Painting Soloution For Fantasy Tabletop Miniatures Like Warhammer 40k and Dungeons And Dragons Figures",,PAINT,https://m.media-amazon.com/images/I/61H9ZassLIL.jpg,,5713799201385,05713799201385,,Yellow,1 count (Pack of 1),Army Painter,,,0.018,kilograms,2.6924,6.5024,7.3914,centimeters,75.0,78.0,50.0,millimeters,,,
B0BWFT5RGN,200,Funko POP! Movies: Avatar: the Way Of Water - Lo’ak - Collectable Vinyl Figure - Gift Idea - Official Merchandise - Toys for Kids & Adults - Movies Fans - Model Figure for Collectors and Display,,FIGURINE,https://m.media-amazon.com/images/I/71u40-zF7kL.jpg,889698730907,0889698730907,00889698730907,,R.blue,One Size,Funko,,,0.17,kilograms,9.8,12.1,22.8,centimeters,3.5,4.5,6.5,inches,,,
B09NQBQW49,200,"The Army Painter Speedpaint Absolution Green 2.0, Single Model Building Acrylic Paint, 18 ml, Single Layer Paint Solution for Fantasy Tabletop Miniatures Like Warhammer 40k Figures and DnD Miniatures",,PAINT,https://m.media-amazon.com/images/I/61jhXgHtWwL.jpg,,5713799200784,05713799200784,,Absolution Green,1 count (Pack of 1),The Army Painter,,,0.03,kilograms,2.3,2.3,7.4,centimeters,75.0,78.0,50.0,millimeters,,,
9189143078,200,Feretory: Mork Borg Cult,,GAMES,https://m.media-amazon.com/images/I/818+M5RrqkL.jpg,,9789189143074,09789189143074,,Multicolor,6 x 8.6 x 0.25 pulgadas,Free League Publishing,,,0.118,kilograms,0.7112,14.9098,21.0058,centimeters,8.6,6.0,0.25,inches,,,
B0B32365PH,200,"Pokémon Paldea Battle Figure 4 Pack - Features 2-Inch Pikachu, Fuecoco, Sprigatito, and Quaxly Battle Figures",,TOY_FIGURE,https://m.media-amazon.com/images/I/51HMT-g+OCL.jpg,191726507185,0191726507185,00191726507185,,Multicolor,2 inches,Jazwares,,,0.168,kilograms,6.7056,13.9954,22.8092,centimeters,2.75,5.5,9.0,inches,,,
B07V9CRX7Y,200,PERFECT SCENTS 3 SCENTS - MYSTIC JAPAN,,AREA_DEODORIZER,https://m.media-amazon.com/images/I/61hW8U-I+FL.jpg,,5055586604796,05055586604796,,White,6.67 ml (Pack of 3),Perfect Scents,,,0.21,kilograms,4.9,11.3,15.9,centimeters,6.96,6.2,17.8099999999999,centimeters,,,
B082BVCQMQ,200,Modiphius Entertainment Role Playing Game Alien RPG: Stress Dice Set,,GAME_DICE,https://m.media-amazon.com/images/I/61qcMExo7NL.jpg,,7350105220159,07350105220159,,Yellow,16 millimetre,Free League Publishing,,,0.059,kilograms,2.3876,7.5946,11.9888,centimeters,3.3,1.0,5.2,inches,,,
B0BLQRDTLL,200,Funko Pop! Movies: Teenage Mutant Ninja Turtles - (Teenage Mutant Ninja Turtles (TMNT) ) - April O'Neil O Neil - Collectable Vinyl Figure - Gift Idea - Official Merchandise - Toys for Kids & Adults,,FIGURINE,https://m.media-amazon.com/images/I/81vb1jv63KL.jpg,889698723336,0889698723336,00889698723336,,Multicolour,One Size,Funko,,,0.14,kilograms,9.1,11.7,16.2,centimeters,3.5,4.5,6.5,inches,,,
B075WYWJ5L,200,"USN Power Punch BCAA Amino Acids Powder, Blue Raspberry Flavour - 400g, Vegan BCAA Powder, Vitamin B6 & No Sugar, Pre Workout & Intra Workout Energy Drink & Dietary Supplement to Maximise Performance",,NUTRITIONAL_SUPPLEMENT,https://m.media-amazon.com/images/I/71UzRAtue2L.jpg,,6009544907381,,,Blue Raspberry,"36 Servings (400 g, Pack of 1)",USN,,,0.56,kilograms,12.6,13.6,18.0,centimeters,15.0,15.0,15.0,centimeters,,,
B07W65T6VT,200,Ultra Pro - Eclipse 9-Pocket Pro-Binder - Jet Black,,DISPLAY_ALBUM,https://m.media-amazon.com/images/I/41MKd7guyEL.jpg,074427152192,0074427152192,00074427152192,,Black,Medium,Ultra Pro,,,0.5,kilograms,2.8,26.7,31.0,centimeters,35.5,25.5,2.5,centimeters,,,
B07NGGSR3D,200,"Ultimate Guard - Katana Sleeves - Purple (100) [Standard Size, 66 x 91mm]",,CARD_DOCUMENT_SLEEVE,https://m.media-amazon.com/images/I/713cteyad4L.jpg,,4056133012225,04056133012225,,Purple,Standard (Lot de 1),Ultimate Guard,,,0.12,kilograms,3.2,7.2,9.9,centimeters,3.0,1.25,5.0,inches,,,
B07L6H9GZ2,200,White Chocolate Skinny Syrup,,SYRUP,https://m.media-amazon.com/images/I/71PHJJArh4L.jpg,,5060614800200,,,Colored,425 ml (Pack of 1),The Skinny Food Co,,,0.46,kilograms,5.4,9.0,16.3,centimeters,8.0,8.0,15.0,centimeters,,,
B0CP69JJGG,200,"Myprotein Unisex Adult Mini Bottle Shaker - Black, 400 ml (Pack of 1)",,BOTTLE,https://m.media-amazon.com/images/I/612Tsz5lHIL.jpg,,5059883286433,,,Black,400 ml,MyProtein,,,0.1,kilograms,8.7,13.4,19.3,centimeters,10.0,10.0,16.0,centimeters,,,
B0BZQCZYN7,200,Yu-Gi-Oh! Speed Duel: Streets of Battle City,,TABLETOP_GAME,https://m.media-amazon.com/images/I/71qhGBFOvGL.jpg,,4012927168844,04012927168844,,Multicolored,10.1 cm x 13.3 cm x 0.1 cm,YU-GI-OH,,,0.608,kilograms,9.1948,11.2014,15.5956,centimeters,133.0,101.0,70.0,millimeters,,,
B0DN6KL887,200,ECO CHIC Lightweight Foldable Reusable Shopping Bag Water Resistant Tote Bag (Cosy Camping Blue),,TOTE_BAG,https://m.media-amazon.com/images/I/61238UQYV9L.jpg,,5061017932987,,,Cosy Camping Blue,Compact,ECO CHIC,,,0.05,kilograms,2.5,10.6,11.5,centimeters,15.0,3.9,22.0,inches,,,
B012DV4306,200,Cameleo Men - Permanent Hair Dye | Medium Brown Colour for Hair Beard & Moustache | Natural Colour Effect in 5 Minutes | Cover Grey Hair | Ammonia FREE | 30ml,,HAIR_COLORING_AGENT,https://m.media-amazon.com/images/I/71mrVK2VBzL.jpg,,5901350445846,,,brown,1 count (Pack of 1),Delia Cosmetics,,,0.1,kilograms,4.2,8.3,15.9,centimeters,4.0,8.0,15.0,centimeters,,,
B00SWSU5BG,200,"Curaprox CUR010 CPS15 Interdental Brush, Regular, Black, 1.8 mm-4 mm (Pack of 5)",,TOOTHBRUSH,https://m.media-amazon.com/images/I/81bgaq9JhOL.jpg,756533668148,0756533668148,07612412015003,,Black,1 count (Pack of 5),DHB,,,0.01,kilograms,1.1,5.7,8.7,centimeters,118.0,68.0,13.0,millimeters,,,
B0BBWH7DBT,200,Kingston NV2 NVMe PCIe 4.0 Internal SSD 250GB M.2 2280 - SNV2S/250G,,COMPUTER_DRIVE_OR_STORAGE,https://m.media-amazon.com/images/I/71NfMZKkpQL.jpg,740617329889,0740617329889,00740617329889,,blue,250GB,Kingston,,,0.02,kilograms,0.7,12.8,17.9,centimeters,3.1496,0.8661,0.1496,inches,,,
B06XGSJS7N,200,"Ultimate Guard UGD010696 Boulder Deck Case, 100 Plus, standard size, malachite",,STORAGE_BOX,https://m.media-amazon.com/images/I/51qKt3O0w9L.jpg,,4056133006194,04056133006194,,Malachite,100+,Ultimate Guard,,,0.15,kilograms,7.493,7.7978,10.6934,centimeters,3.87795485,2.9921276,2.9527575,inches,,,
B09NQ9ZHDQ,200,The Army Painter Speedpaint Singles - Cloudburst Blue,,PAINT,https://m.media-amazon.com/images/I/613n-uHTDBL.jpg,,5713799202283,05713799202283,,Blue,1 ml (Pack of 1),The Army Painter,,,0.02,kilograms,2.2,2.5,7.7,centimeters,75.0,78.0,50.0,millimeters,,,
