Order number_norm,sales,ship_x,promo_x,sb_total,Order ID,price,ship_y,gift,promo_y,our_total,diff
202-6481751-0942729,5.94,0.0,0.0,5.94,202-6481751-0942729,5.94,0.0,0.0,0.0,5.94,0.0
202-6485517-8766760,7.95,0.0,0.0,7.95,202-6485517-8766760,7.95,0.0,0.0,0.0,7.95,0.0
202-6486892-0949138,15.98,0.0,0.0,15.98,202-6486892-0949138,15.98,0.0,0.0,0.0,15.98,0.0
202-6501123-0437102,29.93,0.0,0.0,29.93,202-6501123-0437102,29.93,0.0,0.0,0.0,29.93,0.0
202-6512103-6200342,5.88,0.0,0.0,5.88,202-6512103-6200342,5.88,0.0,0.0,0.0,5.88,0.0
202-6519840-0084324,15.8,0.0,0.0,15.8,202-6519840-0084324,7.9,0.0,0.0,0.0,7.9,-7.9
202-6520002-6573148,10.18,-0.55,0.0,9.629999999999999,202-6520002-6573148,9.52,0.66,0.0,0.0,10.18,0.55
202-6520170-2876357,6.8,0.0,0.0,6.8,202-6520170-2876357,6.8,0.0,0.0,0.0,6.8,0.0
202-6531242-1637134,6.8,0.0,0.0,6.8,202-6531242-1637134,6.8,0.0,0.0,0.0,6.8,0.0
202-6535362-6036312,6.8,0.0,0.0,6.8,202-6535362-6036312,6.8,0.0,0.0,0.0,6.8,0.0
202-6535650-5856345,29.93,0.0,0.0,29.93,202-6535650-5856345,29.93,0.0,0.0,0.0,29.93,0.0
202-6544854-0021119,8.39,0.0,0.0,8.39,202-6544854-0021119,8.39,0.0,0.0,0.0,8.39,0.0
202-6557119-5807511,23.7,0.0,0.0,23.7,202-6557119-5807511,23.7,0.0,0.0,0.0,23.7,0.0
202-6570021-7177961,6.73,0.0,0.0,6.73,202-6570021-7177961,6.73,0.0,0.0,0.0,6.73,0.0
202-6577416-4026740,2.97,0.0,0.0,2.97,202-6577416-4026740,2.97,0.0,0.0,0.0,2.97,0.0
202-6585336-7162757,7.98,0.0,0.0,7.98,202-6585336-7162757,7.98,1.0,0.0,0.0,8.98,1.0
202-6586659-5511535,5.25,0.0,0.0,5.25,202-6586659-5511535,5.25,0.0,0.0,0.0,5.25,0.0
202-6587988-9033913,10.99,0.0,0.0,10.99,202-6587988-9033913,10.99,0.0,0.0,0.0,10.99,0.0
202-6593109-2923521,8.99,0.0,0.0,8.99,202-6593109-2923521,8.99,0.74,0.0,0.0,9.73,0.74
202-6603789-9973135,23.09,0.0,0.0,23.09,202-6603789-9973135,23.09,0.0,0.0,0.0,23.09,0.0
