Date,Order ID,marketplace_id,SKU,Quantity Ordered,Price_Total,Price_VAT,Price_ExVAT,Shipping_Total,Shipping_VAT,Shipping_ExVAT,Gift_Total,Gift_VAT,Gift_ExVAT,Promotion_Total,Promotion_VAT,Promotion_ExVAT,COGS_Total,COGS_VAT,COGS_ExVAT,FBA_Fee_Total,FBA_Fee_VAT,FBA_Fee_ExVAT,Commission_Total,Commission_VAT,Commission_ExVAT,Digital_Fee_Total,Digital_Fee_VAT,Digital_Fee_ExVAT,Margin_ExVAT,Margin_Pct
2025-11-04T17:36:47Z,026-6374436-3660310,A1F83G8C2ARO7P,F7-PMJ2-SG6A,1,7.90,1.32,6.58,,,,0.00,0.00,0.00,0.00,0.00,0.00,,,,2.00,0.33,1.67,1.43,0.24,1.19,-0.07,-0.01,-0.06,,
2025-11-04T19:13:23Z,202-1445594-0329123,A1F83G8C2ARO7P,0G-JB6S-PN34,1,7.15,0.00,7.15,,,,0.00,0.00,0.00,0.00,0.00,0.00,,,,3.18,0.53,2.65,0.68,0.11,0.57,-0.07,-0.01,-0.06,,
2025-11-04T19:30:53Z,202-3178329-0503552,A1F83G8C2ARO7P,L3-ZQ8U-A7LQ,1,9.99,1.67,8.32,,,,0.00,0.00,0.00,0.00,0.00,0.00,,,,1.75,0.29,1.46,1.80,0.30,1.50,-0.07,-0.01,-0.06,,
2025-11-04T21:00:29Z,203-6931682-2500348,A1F83G8C2ARO7P,SR-6OBB-WC03,1,8.83,1.47,7.36,,,,0.00,0.00,0.00,0.00,0.00,0.00,,,,2.90,0.48,2.42,1.58,0.26,1.32,-0.08,-0.01,-0.07,,
2025-11-04T21:06:13Z,206-4982455-5618757,A1F83G8C2ARO7P,6P-IWYA-X18B,1,11.98,2.00,9.98,,,,0.00,0.00,0.00,0.00,0.00,0.00,,,,3.60,0.60,3.00,2.16,0.36,1.80,-0.12,-0.02,-0.10,,
2025-11-04T21:12:57Z,206-4787774-8149107,A1F83G8C2ARO7P,0G-JB6S-PN34,1,7.15,0.00,7.15,,,,0.00,0.00,0.00,0.00,0.00,0.00,,,,3.18,0.53,2.65,0.68,0.11,0.57,-0.07,-0.01,-0.06,,
2025-11-04T21:13:58Z,202-9798449-3809157,A1F83G8C2ARO7P,AF-KIHX-ANYY,1,3.97,0.66,3.31,,,,0.00,0.00,0.00,0.00,0.00,0.00,,,,1.75,0.29,1.46,0.62,0.10,0.52,-0.05,-0.01,-0.04,,
2025-11-04T21:15:37Z,205-6906404-8700303,A1F83G8C2ARO7P,VU-8KRA-QP5M,1,11.60,1.93,9.67,,,,0.00,0.00,0.00,0.00,0.00,0.00,,,,3.18,0.53,2.65,2.09,0.35,1.74,-0.11,-0.02,-0.09,,
2025-11-04T21:56:32Z,205-9406211-3877131,A1F83G8C2ARO7P,6V-EEC1-2S9Z,1,6.73,1.12,5.61,,,,0.00,0.00,0.00,0.00,0.00,0.00,,,,1.94,0.32,1.62,1.04,0.17,0.87,-0.06,-0.01,-0.05,,
2025-11-04T22:13:43Z,203-4377559-6623528,A1F83G8C2ARO7P,SR-6OBB-WC03,1,8.83,1.47,7.36,,,,0.00,0.00,0.00,0.00,0.00,0.00,,,,2.90,0.48,2.42,1.58,0.26,1.32,-0.08,-0.01,-0.07,,
2025-11-04T22:18:29Z,203-9697672-9384324,A1F83G8C2ARO7P,0G-JB6S-PN34,1,7.15,0.00,7.15,,,,0.00,0.00,0.00,0.00,0.00,0.00,,,,3.18,0.53,2.65,0.68,0.11,0.57,-0.07,-0.01,-0.06,,
2025-11-04T22:22:45Z,026-9668422-3436334,A1F83G8C2ARO7P,8M-LM6B-F2Q5,1,5.41,0.90,4.51,,,,0.00,0.00,0.00,0.00,0.00,0.00,,,,1.80,0.30,1.50,0.84,0.14,0.70,-0.05,-0.01,-0.04,,
2025-11-04T23:12:44Z,206-1841716-0406764,A1F83G8C2ARO7P,0G-JB6S-PN34,1,7.15,0.00,7.15,,,,0.00,0.00,0.00,0.00,0.00,0.00,,,,3.18,0.53,2.65,0.68,0.11,0.57,-0.07,-0.01,-0.06,,
2025-11-04T23:25:17Z,026-6949657-4168301,A1F83G8C2ARO7P,0G-JB6S-PN34,1,7.15,0.00,7.15,,,,0.00,0.00,0.00,0.00,0.00,0.00,,,,3.18,0.53,2.65,0.68,0.11,0.57,-0.07,-0.01,-0.06,,
2025-11-05T01:34:45Z,205-5902218-1373938,A1F83G8C2ARO7P,SR-6OBB-WC03,1,8.83,1.47,7.36,,,,0.00,0.00,0.00,0.00,0.00,0.00,,,,2.90,0.48,2.42,1.58,0.26,1.32,-0.08,-0.01,-0.07,,
2025-11-05T02:57:16Z,203-4286627-8012344,A1F83G8C2ARO7P,0G-JB6S-PN34,1,8.15,0.00,8.15,,,,0.00,0.00,0.00,0.00,0.00,0.00,,,,3.18,0.53,2.65,0.78,0.13,0.65,-0.08,-0.01,-0.07,,
2025-11-05T06:59:09Z,203-8430894-9126739,A1F83G8C2ARO7P,XH-0LAE-FQO5,1,7.30,1.22,6.08,,,,0.00,0.00,0.00,0.00,0.00,0.00,,,,1.75,0.29,1.46,0.70,0.12,0.58,-0.05,-0.01,-0.04,,
2025-11-05T07:37:33Z,203-9555760-0349942,A1F83G8C2ARO7P,0G-JB6S-PN34,1,7.15,0.00,7.15,,,,0.00,0.00,0.00,0.00,0.00,0.00,,,,3.18,0.53,2.65,0.68,0.11,0.57,-0.07,-0.01,-0.06,,
2025-11-05T08:45:58Z,204-3913888-6916331,A1F83G8C2ARO7P,8L-INBX-OUTU,1,8.99,1.50,7.49,,,,0.00,0.00,0.00,0.00,0.00,0.00,,,,3.18,0.53,2.65,1.62,0.27,1.35,-0.10,-0.02,-0.08,,
2025-11-05T10:39:31Z,204-8184417-4994718,A1F83G8C2ARO7P,SR-6OBB-WC03,1,8.83,1.47,7.36,,,,0.00,0.00,0.00,0.00,0.00,0.00,,,,2.90,0.48,2.42,1.58,0.26,1.32,-0.08,-0.01,-0.07,,
2025-11-05T12:13:56Z,204-6666176-8400325,A1F83G8C2ARO7P,NN-TSZ1-X2RD,1,9.99,1.67,8.32,0.42,,0.42,0.00,0.00,0.00,0.00,0.00,0.00,,,,1.50,0.25,1.25,0.96,0.16,0.80,-0.05,-0.01,-0.04,,
2025-11-05T12:13:56Z,204-6666176-8400325,A1F83G8C2ARO7P,XH-0LAE-FQO5,1,7.17,1.20,5.97,0.42,,0.42,0.00,0.00,0.00,0.00,0.00,0.00,,,,1.75,0.29,1.46,0.68,0.11,0.57,-0.05,-0.01,-0.04,,
2025-11-05T13:44:59Z,202-3251827-6955525,A1F83G8C2ARO7P,0G-JB6S-PN34,1,7.15,0.00,7.15,,,,0.00,0.00,0.00,0.00,0.00,0.00,,,,3.18,0.53,2.65,0.68,0.11,0.57,-0.07,-0.01,-0.06,,
2025-11-05T14:01:32Z,026-3494018-6437167,A1F83G8C2ARO7P,0G-JB6S-PN34,1,7.15,0.00,7.15,,,,0.00,0.00,0.00,0.00,0.00,0.00,,,,3.18,0.53,2.65,0.68,0.11,0.57,-0.07,-0.01,-0.06,,
2025-11-05T14:14:07Z,204-0291248-8964372,A1F83G8C2ARO7P,XH-0LAE-FQO5,1,7.17,1.20,5.97,,,,0.00,0.00,0.00,0.00,0.00,0.00,,,,1.75,0.29,1.46,0.68,0.11,0.57,-0.05,-0.01,-0.04,,
2025-11-05T16:56:43Z,205-0435169-3971507,A1F83G8C2ARO7P,3X-EXDD-TD2K,1,45.48,7.58,37.90,,,,0.00,0.00,0.00,0.00,0.00,0.00,,,,2.59,0.43,2.16,8.18,1.36,6.82,-0.22,-0.04,-0.18,,
2025-11-05T16:59:09Z,203-3891640-9222717,A1F83G8C2ARO7P,XH-0LAE-FQO5,2,14.38,2.40,11.98,,,,0.00,0.00,0.00,0.00,0.00,0.00,,,,3.50,0.58,2.92,1.39,0.23,1.16,-0.10,-0.02,-0.08,,
2025-11-05T18:13:55Z,205-7168069-0265116,A1F83G8C2ARO7P,0G-JB6S-PN34,1,7.15,0.00,7.15,,,,0.00,0.00,0.00,0.00,0.00,0.00,,,,3.18,0.53,2.65,0.68,0.11,0.57,-0.07,-0.01,-0.06,,
2025-11-05T19:01:07Z,203-1474831-1813110,A1F83G8C2ARO7P,9X-7TBD-NA16,1,6.94,1.16,5.78,,,,0.00,0.00,0.00,0.00,0.00,0.00,,,,2.00,0.33,1.67,1.25,0.21,1.04,-0.06,-0.01,-0.05,,
2025-11-05T19:49:16Z,026-9113010-6365925,A1F83G8C2ARO7P,AF-KIHX-ANYY,1,4.00,0.67,3.33,,,,0.00,0.00,0.00,0.00,0.00,0.00,,,,1.75,0.29,1.46,0.62,0.10,0.52,-0.05,-0.01,-0.04,,
2025-11-05T20:36:28Z,204-7653542-5381132,A1F83G8C2ARO7P,0G-JB6S-PN34,1,7.15,0.00,7.15,,,,0.00,0.00,0.00,0.00,0.00,0.00,,,,3.18,0.53,2.65,0.68,0.11,0.57,-0.07,-0.01,-0.06,,
2025-11-05T20:50:10Z,203-8247006-8596356,A1F83G8C2ARO7P,NN-TSZ1-X2RD,1,9.99,1.67,8.32,0.93,,0.93,0.00,0.00,0.00,0.00,0.00,0.00,,,,1.50,0.25,1.25,0.96,0.16,0.80,-0.05,-0.01,-0.04,,
2025-11-05T20:59:31Z,026-9624069-0990712,A1F83G8C2ARO7P,XH-0LAE-FQO5,1,7.21,1.20,6.01,,,,0.00,0.00,0.00,0.00,0.00,0.00,,,,1.75,0.29,1.46,0.70,0.12,0.58,-0.05,-0.01,-0.04,,
