timestamp_utc,asof_date,marketplace,sku,asin,seller_id,seller_seen_flag,offer_price_gbp,offer_shipping_price_gbp,offer_landed_price_gbp,is_prime,fulfilment_channel,min_delivery_days,max_delivery_days,delivery_range_days,source,notes
2026-02-18T11:32:14Z,2026-02-18,UK,7M-48OU-23X3,B004GFPFBO,A3CFTXXGWUAY4X,1,15.95,3.5,19.45,0,FBM,0,0,0,SPAPI,
2026-02-18T11:32:14Z,2026-02-18,UK,7M-48OU-23X3,B004GFPFBO,A21G8HEK1P7HOH,1,14.99,4.99,19.98,0,FBM,1,1,0,SPAPI,
2026-02-18T11:32:14Z,2026-02-18,UK,7M-48OU-23X3,B004GFPFBO,A1U8XWT1LY0M67,1,13.23,7.0,20.23,0,FBM,0,0,0,SPAPI,
2026-02-18T11:32:14Z,2026-02-18,UK,7M-48OU-23X3,B004GFPFBO,A3EW3FGWRR58FB,1,20.58,0.0,20.58,0,FBM,6,7,1,SPAPI,
2026-02-18T11:32:14Z,2026-02-18,UK,7M-48OU-23X3,B004GFPFBO,A34P5WBWMO5G2I,1,18.98,4.49,23.47,1,FBA,0,0,0,SPAPI,
2026-02-18T11:32:14Z,2026-02-18,UK,7M-48OU-23X3,B004GFPFBO,AV1ITT8I8S7J4,1,26.05,0.0,26.05,1,FBM,1,1,0,SPAPI,
2026-02-18T11:32:14Z,2026-02-18,UK,7M-48OU-23X3,B004GFPFBO,A3J22AL4RNFU3L,1,22.1,4.49,26.590000000000003,1,FBA,0,0,0,SPAPI,
2026-02-18T11:32:14Z,2026-02-18,UK,7M-48OU-23X3,B004GFPFBO,A3KXS2ZFSIWBKG,1,16.77,12.0,28.77,0,FBM,3,4,1,SPAPI,
2026-02-18T11:32:14Z,2026-02-18,UK,7M-48OU-23X3,B004GFPFBO,A1ELPYJ3O7GJ2C,1,23.36,9.5,32.86,0,FBM,2,3,1,SPAPI,
2026-02-18T11:32:14Z,2026-02-18,UK,7M-48OU-23X3,B004GFPFBO,A317ZZ1U48M50M,1,19.52,15.0,34.519999999999996,0,FBM,0,0,0,SPAPI,
2026-02-18T11:32:14Z,2026-02-18,UK,7M-48OU-23X3,B004GFPFBO,AUJ0DP392TZPK,1,14.6,22.0,36.6,0,FBM,1,1,0,SPAPI,
2026-02-18T11:32:14Z,2026-02-18,UK,7M-48OU-23X3,B004GFPFBO,A1OCV8TJWC033I,1,38.69,5.26,43.949999999999996,0,FBM,4,5,1,SPAPI,
2026-02-18T11:32:14Z,2026-02-18,UK,8M-LM6B-F2Q5,B00D1V5FPU,A3P5ROKL5A1OLE,1,2.99,0.0,2.99,1,FBM,0,0,0,SPAPI,
2026-02-18T11:32:14Z,2026-02-18,UK,8M-LM6B-F2Q5,B00D1V5FPU,A3P5ROKL5A1OLE,1,2.99,0.0,2.99,1,FBA,0,0,0,SPAPI,
2026-02-18T11:32:14Z,2026-02-18,UK,8M-LM6B-F2Q5,B00D1V5FPU,AB5OM860MS57Z,1,5.45,0.0,5.45,1,FBA,0,0,0,SPAPI,
2026-02-18T11:32:14Z,2026-02-18,UK,8M-LM6B-F2Q5,B00D1V5FPU,A3VZ7ZF5ZTJMTL,1,6.06,0.0,6.06,0,FBM,7,8,1,SPAPI,
2026-02-18T11:32:14Z,2026-02-18,UK,8M-LM6B-F2Q5,B00D1V5FPU,A292BGT65ET8F0,1,6.45,0.0,6.45,0,FBM,0,0,0,SPAPI,
2026-02-18T11:32:14Z,2026-02-18,UK,8M-LM6B-F2Q5,B00D1V5FPU,A3IHE6H89G3762,1,7.88,0.0,7.88,1,FBM,0,0,0,SPAPI,
2026-02-18T11:32:14Z,2026-02-18,UK,8M-LM6B-F2Q5,B00D1V5FPU,A1ICOKZ7C5JV02,1,6.29,2.5,8.79,0,FBM,1,2,1,SPAPI,
2026-02-18T11:32:14Z,2026-02-18,UK,8M-NHB7-T8TR,B0B2RBG672,A1R64IUNVWPSMR,1,29.22,0.0,29.22,0,FBM,2,3,1,SPAPI,
2026-02-18T11:32:14Z,2026-02-18,UK,8M-NHB7-T8TR,B0B2RBG672,AB5OM860MS57Z,1,29.23,0.0,29.23,1,FBA,0,0,0,SPAPI,
2026-02-18T11:32:14Z,2026-02-18,UK,8M-NHB7-T8TR,B0B2RBG672,A3P5ROKL5A1OLE,1,29.23,0.0,29.23,1,FBM,0,0,0,SPAPI,
2026-02-18T11:32:14Z,2026-02-18,UK,8M-NHB7-T8TR,B0B2RBG672,A3P5ROKL5A1OLE,1,29.23,0.0,29.23,1,FBA,0,0,0,SPAPI,
2026-02-18T11:32:14Z,2026-02-18,UK,8M-NHB7-T8TR,B0B2RBG672,A14WT6H5MEVN4K,1,29.9,0.0,29.9,1,FBM,0,0,0,SPAPI,
2026-02-18T11:32:14Z,2026-02-18,UK,8M-NHB7-T8TR,B0B2RBG672,A2LXP2FZ6P749B,1,32.99,0.0,32.99,0,FBM,1,1,0,SPAPI,
2026-02-18T11:32:14Z,2026-02-18,UK,8M-NHB7-T8TR,B0B2RBG672,A2LXP2FZ6P749B,1,32.99,0.0,32.99,1,FBA,0,0,0,SPAPI,
2026-02-18T11:32:14Z,2026-02-18,UK,8M-NHB7-T8TR,B0B2RBG672,A2LXP2FZ6P749B,1,32.99,0.0,32.99,0,FBM,1,1,0,SPAPI,
2026-02-18T11:32:14Z,2026-02-18,UK,8M-NHB7-T8TR,B0B2RBG672,A30DC7701CXIBH,1,30.43,4.49,34.92,1,FBM,0,0,0,SPAPI,
2026-02-18T11:32:14Z,2026-02-18,UK,8U-QPFH-3EKQ,B07T9WVBZ2,A1JC7HNS9WAGK9,1,5.36,0.0,5.36,1,FBA,0,0,0,SPAPI,
2026-02-18T11:32:14Z,2026-02-18,UK,8U-QPFH-3EKQ,B07T9WVBZ2,AB5OM860MS57Z,1,6.46,0.0,6.46,1,FBA,0,0,0,SPAPI,
2026-02-18T11:32:14Z,2026-02-18,UK,9X-HL62-83C7,B00BEUFYE2,A6EDL63T4NTWD,1,4.98,0.0,4.98,1,FBA,0,0,0,SPAPI,
2026-02-18T11:32:14Z,2026-02-18,UK,9X-HL62-83C7,B00BEUFYE2,ALY9IHYDDYJF2,1,4.99,0.0,4.99,1,FBA,0,0,0,SPAPI,
2026-02-18T11:32:14Z,2026-02-18,UK,9X-HL62-83C7,B00BEUFYE2,A3P5ROKL5A1OLE,1,4.99,0.0,4.99,1,FBA,0,0,0,SPAPI,
2026-02-18T11:32:14Z,2026-02-18,UK,9X-HL62-83C7,B00BEUFYE2,AB5OM860MS57Z,1,5.87,0.0,5.87,1,FBA,0,0,0,SPAPI,
2026-02-18T11:32:14Z,2026-02-18,UK,9X-HL62-83C7,B00BEUFYE2,A1WT1GDCDCCW6J,1,6.95,0.0,6.95,0,FBM,1,1,0,SPAPI,
2026-02-18T11:32:14Z,2026-02-18,UK,9X-HL62-83C7,B00BEUFYE2,ARZ3KY6FT4167,1,7.99,0.0,7.99,0,FBM,1,1,0,SPAPI,
2026-02-18T11:32:14Z,2026-02-18,UK,9X-HL62-83C7,B00BEUFYE2,A3MM2NEXPR9YU5,1,7.99,0.0,7.99,1,FBA,0,0,0,SPAPI,
2026-02-18T11:32:14Z,2026-02-18,UK,9X-HL62-83C7,B00BEUFYE2,A1ICOKZ7C5JV02,1,7.32,2.5,9.82,0,FBM,1,2,1,SPAPI,
