token_id,seller_sku,asin,lot_id,purchase_order_id,order_confirmation_id,invoice_id,shipment_id,cost_per_unit,currency,status,received_date,allocated_order_id,allocated_date,return_order_id,return_date,notes
A2-T2AC-TW3L1-0100,A2-T2AC-TW3L,B006PFN3BW,A2-T2AC-TW3L1,,,,,4.14,GBP,available,2024-08-28,,,,,backdate_all
A2-T2AC-TW3L1-0101,A2-T2AC-TW3L,B006PFN3BW,A2-T2AC-TW3L1,,,,,4.14,GBP,available,2024-08-28,,,,,backdate_all
A2-T2AC-TW3L1-0102,A2-T2AC-TW3L,B006PFN3BW,A2-T2AC-TW3L1,,,,,4.14,GBP,available,2024-08-28,,,,,backdate_all
A2-T2AC-TW3L1-0103,A2-T2AC-TW3L,B006PFN3BW,A2-T2AC-TW3L1,,,,,4.14,GBP,available,2024-08-28,,,,,backdate_all
A2-T2AC-TW3L1-0104,A2-T2AC-TW3L,B006PFN3BW,A2-T2AC-TW3L1,,,,,4.14,GBP,available,2024-08-28,,,,,backdate_all
A2-T2AC-TW3L1-0105,A2-T2AC-TW3L,B006PFN3BW,A2-T2AC-TW3L1,,,,,4.14,GBP,available,2024-08-28,,,,,backdate_all
A2-T2AC-TW3L1-0106,A2-T2AC-TW3L,B006PFN3BW,A2-T2AC-TW3L1,,,,,4.14,GBP,available,2024-08-28,,,,,backdate_all
A2-T2AC-TW3L1-0107,A2-T2AC-TW3L,B006PFN3BW,A2-T2AC-TW3L1,,,,,4.14,GBP,available,2024-08-28,,,,,backdate_all
A2-T2AC-TW3L1-0108,A2-T2AC-TW3L,B006PFN3BW,A2-T2AC-TW3L1,,,,,4.14,GBP,available,2024-08-28,,,,,backdate_all
A2-T2AC-TW3L1-0109,A2-T2AC-TW3L,B006PFN3BW,A2-T2AC-TW3L1,,,,,4.14,GBP,available,2024-08-28,,,,,backdate_all
A2-T2AC-TW3L1-0110,A2-T2AC-TW3L,B006PFN3BW,A2-T2AC-TW3L1,,,,,4.14,GBP,available,2024-08-28,,,,,backdate_all
A2-T2AC-TW3L1-0111,A2-T2AC-TW3L,B006PFN3BW,A2-T2AC-TW3L1,,,,,4.14,GBP,available,2024-08-28,,,,,backdate_all
A2-T2AC-TW3L1-0112,A2-T2AC-TW3L,B006PFN3BW,A2-T2AC-TW3L1,,,,,4.14,GBP,available,2024-08-28,,,,,backdate_all
A2-T2AC-TW3L1-0113,A2-T2AC-TW3L,B006PFN3BW,A2-T2AC-TW3L1,,,,,4.14,GBP,available,2024-08-28,,,,,backdate_all
A2-T2AC-TW3L1-0114,A2-T2AC-TW3L,B006PFN3BW,A2-T2AC-TW3L1,,,,,4.14,GBP,available,2024-08-28,,,,,backdate_all
A2-T2AC-TW3L1-0115,A2-T2AC-TW3L,B006PFN3BW,A2-T2AC-TW3L1,,,,,4.14,GBP,available,2024-08-28,,,,,backdate_all
A2-T2AC-TW3L1-0116,A2-T2AC-TW3L,B006PFN3BW,A2-T2AC-TW3L1,,,,,4.14,GBP,available,2024-08-28,,,,,backdate_all
A2-T2AC-TW3L1-0117,A2-T2AC-TW3L,B006PFN3BW,A2-T2AC-TW3L1,,,,,4.14,GBP,available,2024-08-28,,,,,backdate_all
A2-T2AC-TW3L1-0118,A2-T2AC-TW3L,B006PFN3BW,A2-T2AC-TW3L1,,,,,4.14,GBP,available,2024-08-28,,,,,backdate_all
A2-T2AC-TW3L1-0119,A2-T2AC-TW3L,B006PFN3BW,A2-T2AC-TW3L1,,,,,4.14,GBP,available,2024-08-28,,,,,backdate_all
A2-T2AC-TW3L1-0120,A2-T2AC-TW3L,B006PFN3BW,A2-T2AC-TW3L1,,,,,4.14,GBP,available,2024-08-28,,,,,backdate_all
A2-T2AC-TW3L1-0121,A2-T2AC-TW3L,B006PFN3BW,A2-T2AC-TW3L1,,,,,4.14,GBP,available,2024-08-28,,,,,backdate_all
A2-T2AC-TW3L1-0122,A2-T2AC-TW3L,B006PFN3BW,A2-T2AC-TW3L1,,,,,4.14,GBP,available,2024-08-28,,,,,backdate_all
A2-T2AC-TW3L1-0123,A2-T2AC-TW3L,B006PFN3BW,A2-T2AC-TW3L1,,,,,4.14,GBP,available,2024-08-28,,,,,backdate_all
VF-3T0K-DR5O1-0001,VF-3T0K-DR5O,B08KFFY86W,VF-3T0K-DR5O1,,,,,2.19,GBP,allocated,2024-08-29,205-5028901-8756344,2026-01-15T18:44:18Z,,,backdate_all
VF-3T0K-DR5O1-0002,VF-3T0K-DR5O,B08KFFY86W,VF-3T0K-DR5O1,,,,,2.19,GBP,allocated,2024-08-29,203-9480730-0753955,2026-01-17T23:53:11Z,,,backdate_all
VF-3T0K-DR5O1-0003,VF-3T0K-DR5O,B08KFFY86W,VF-3T0K-DR5O1,,,,,2.19,GBP,available,2024-08-29,,,,,backdate_all
VF-3T0K-DR5O1-0004,VF-3T0K-DR5O,B08KFFY86W,VF-3T0K-DR5O1,,,,,2.19,GBP,available,2024-08-29,,,,,backdate_all
VF-3T0K-DR5O1-0005,VF-3T0K-DR5O,B08KFFY86W,VF-3T0K-DR5O1,,,,,2.19,GBP,available,2024-08-29,,,,,backdate_all
VF-3T0K-DR5O1-0006,VF-3T0K-DR5O,B08KFFY86W,VF-3T0K-DR5O1,,,,,2.19,GBP,available,2024-08-29,,,,,backdate_all
VF-3T0K-DR5O1-0007,VF-3T0K-DR5O,B08KFFY86W,VF-3T0K-DR5O1,,,,,2.19,GBP,available,2024-08-29,,,,,backdate_all
VF-3T0K-DR5O1-0008,VF-3T0K-DR5O,B08KFFY86W,VF-3T0K-DR5O1,,,,,2.19,GBP,available,2024-08-29,,,,,backdate_all
VF-3T0K-DR5O1-0009,VF-3T0K-DR5O,B08KFFY86W,VF-3T0K-DR5O1,,,,,2.19,GBP,available,2024-08-29,,,,,backdate_all
VF-3T0K-DR5O1-0010,VF-3T0K-DR5O,B08KFFY86W,VF-3T0K-DR5O1,,,,,2.19,GBP,available,2024-08-29,,,,,backdate_all
VF-3T0K-DR5O1-0011,VF-3T0K-DR5O,B08KFFY86W,VF-3T0K-DR5O1,,,,,2.19,GBP,available,2024-08-29,,,,,backdate_all
VF-3T0K-DR5O1-0012,VF-3T0K-DR5O,B08KFFY86W,VF-3T0K-DR5O1,,,,,2.19,GBP,available,2024-08-29,,,,,backdate_all
VF-3T0K-DR5O1-0013,VF-3T0K-DR5O,B08KFFY86W,VF-3T0K-DR5O1,,,,,2.19,GBP,available,2024-08-29,,,,,backdate_all
VF-3T0K-DR5O1-0014,VF-3T0K-DR5O,B08KFFY86W,VF-3T0K-DR5O1,,,,,2.19,GBP,available,2024-08-29,,,,,backdate_all
VF-3T0K-DR5O1-0015,VF-3T0K-DR5O,B08KFFY86W,VF-3T0K-DR5O1,,,,,2.19,GBP,available,2024-08-29,,,,,backdate_all
VF-3T0K-DR5O1-0016,VF-3T0K-DR5O,B08KFFY86W,VF-3T0K-DR5O1,,,,,2.19,GBP,available,2024-08-29,,,,,backdate_all
VF-3T0K-DR5O1-0017,VF-3T0K-DR5O,B08KFFY86W,VF-3T0K-DR5O1,,,,,2.19,GBP,available,2024-08-29,,,,,backdate_all
VF-3T0K-DR5O1-0018,VF-3T0K-DR5O,B08KFFY86W,VF-3T0K-DR5O1,,,,,2.19,GBP,available,2024-08-29,,,,,backdate_all
VF-3T0K-DR5O1-0019,VF-3T0K-DR5O,B08KFFY86W,VF-3T0K-DR5O1,,,,,2.19,GBP,available,2024-08-29,,,,,backdate_all
VF-3T0K-DR5O1-0020,VF-3T0K-DR5O,B08KFFY86W,VF-3T0K-DR5O1,,,,,2.19,GBP,available,2024-08-29,,,,,backdate_all
VF-3T0K-DR5O1-0021,VF-3T0K-DR5O,B08KFFY86W,VF-3T0K-DR5O1,,,,,2.19,GBP,available,2024-08-29,,,,,backdate_all
VF-3T0K-DR5O1-0022,VF-3T0K-DR5O,B08KFFY86W,VF-3T0K-DR5O1,,,,,2.19,GBP,available,2024-08-29,,,,,backdate_all
VF-3T0K-DR5O1-0023,VF-3T0K-DR5O,B08KFFY86W,VF-3T0K-DR5O1,,,,,2.19,GBP,available,2024-08-29,,,,,backdate_all
VF-3T0K-DR5O1-0024,VF-3T0K-DR5O,B08KFFY86W,VF-3T0K-DR5O1,,,,,2.19,GBP,available,2024-08-29,,,,,backdate_all
VF-3T0K-DR5O1-0025,VF-3T0K-DR5O,B08KFFY86W,VF-3T0K-DR5O1,,,,,2.19,GBP,available,2024-08-29,,,,,backdate_all
VF-3T0K-DR5O1-0026,VF-3T0K-DR5O,B08KFFY86W,VF-3T0K-DR5O1,,,,,2.19,GBP,available,2024-08-29,,,,,backdate_all
VF-3T0K-DR5O1-0027,VF-3T0K-DR5O,B08KFFY86W,VF-3T0K-DR5O1,,,,,2.19,GBP,available,2024-08-29,,,,,backdate_all
VF-3T0K-DR5O1-0028,VF-3T0K-DR5O,B08KFFY86W,VF-3T0K-DR5O1,,,,,2.19,GBP,available,2024-08-29,,,,,backdate_all
