missing_in_order_ledger,extra_in_order_ledger
206-6209648-7494734,204-1608541-5131560
206-6268385-9325920,204-1657094-1365900
206-6562908-4629902,204-1854843-1942765
206-6577761-7103534,204-1954997-3581133
206-6760852-9481906,204-1987775-5417147
206-7073072-5845155,204-2056243-2287546
206-7154400-1240327,204-2063125-8212334
206-7376706-2780353,204-2091198-8567563
206-7416908-0587535,204-2102444-6090712
206-7799363-1860341,204-2102993-1821112
206-7882081-5566716,204-2250850-9397147
206-7955434-4106766,204-2289903-3643520
206-8113984-9360362,204-2657855-4864342
206-8468190-6448344,204-2753495-4888317
206-8594408-1422758,204-2857324-4773924
206-8831851-6833909,204-2977225-2245942
206-9006275-7721140,204-3020413-6121160
206-9021096-5764326,204-3164602-8852359
206-9163507-0952325,204-3312565-3716359
206-9217188-5696363,204-3474331-6912303
206-9237444-4910768,204-3520417-0209951
206-9353752-7325968,204-3534554-6456315
206-9582297-5882713,204-3559449-2929159
206-9809525-8153116,204-3583557-7929103
206-9863411-4999530,204-3706886-2223519
206-9900255-5833114,204-3712361-8181919
206-9923883-7971515,204-3736196-8336339
3AeydfN+Vc,204-3954444-7119504
xLWN6RFf4H,204-3993943-1463518
