seller_sku,lot_id,order_date,ordered,sent_to_fba,used_for_stock,used_for_orders,unused,cost_per_unit
SU-JM8R-2U82,SU-JM8R-2U82-2024-02-10-row114,2024-02-10,35,35,0,5,30,6.95
T8-6UWL-I3E1,T8-6UWL-I3E1-2025-08-26-row823,2025-08-26,280,280,69,4,207,1.48
TE-Y18U-S2O1,TE-Y18U-S2O1-2025-06-19-row747,2025-06-19,10,10,0,5,5,4.16
TJ-6LOP-OPEU,TJ-6LOP-OPEU-2025-03-17-row527,2025-03-17,24,24,16,3,5,2.19
TK-E7QE-T40G,TK-E7QE-T40G-2025-02-17-row428,2025-02-17,300,300,17,5,278,3.8
TU-8I14-25ZR,TU-8I14-25ZR-2025-10-06-row883,2025-10-06,120,120,19,95,6,12.67
U1-M5BM-8F5W,U1-M5BM-8F5W-2024-11-12-row323,2024-11-12,30,30,0,9,21,13.0
UL-D0Y8-ZNI5,UL-D0Y8-ZNI5-2025-09-09-row848,2025-09-09,10,10,0,7,3,19.5
UR-Q7TM-1F3I,UR-Q7TM-1F3I-2025-05-20-row692,2025-05-20,6,6,1,3,2,7.59
US-AK96-YFSB,US-AK96-YFSB-2025-10-06-row900,2025-10-06,3,3,3,0,0,1.25
VF-3T0K-DR5O,VF-3T0K-DR5O-2025-11-18-row948,2025-11-18,800,800,489,311,0,2.05
VL-48KZ-J3F2,VL-48KZ-J3F2-2025-10-06-row902,2025-10-06,46,46,0,46,0,1.06
VO-A6AR-18YS,VO-A6AR-18YS-2025-08-25-row817,2025-08-25,4,0,0,2,2,0.0
VO-A6AR-18YS,VO-A6AR-18YS-2025-07-05-row672,2025-07-05,6,6,1,0,5,1.97
VU-8KRA-QP5M,VU-8KRA-QP5M-2025-06-23-row764,2025-06-23,100,100,41,39,20,4.32
WE-1Z7L-SA2I,WE-1Z7L-SA2I-2025-09-09-row859,2025-09-09,39,39,39,0,0,1.65
WJ-YHKC-EES5,WJ-YHKC-EES5-2025-10-06-row892,2025-10-06,36,0,0,2,34,2.09
WJ-YHKC-EES5,WJ-YHKC-EES5-2025-08-04-row802,2025-08-04,5,5,1,0,4,2.09
WX-L5UA-UB1Q,WX-L5UA-UB1Q-2025-06-19-row757,2025-06-19,802,802,219,583,0,1.72
WX-L5UA-UB1Q,WX-L5UA-UB1Q-2025-04-29-row629,2025-04-29,400,400,0,7,393,1.84
X7-MY4W-H2I4,X7-MY4W-H2I4-2025-10-06-row901,2025-10-06,13,13,1,12,0,2.28
XE-27ZG-EZPZ,XE-27ZG-EZPZ-2025-04-23-row606,2025-04-23,19,19,16,2,1,1.23
XE-YPAI-HX9F,XE-YPAI-HX9F-2025-12-16-row954,2025-12-16,24,24,0,24,0,4.7
XE-YPAI-HX9F,XE-YPAI-HX9F-2025-10-07-row919,2025-10-07,52,52,0,52,0,4.58
XE-YPAI-HX9F,XE-YPAI-HX9F-2025-09-15-row867,2025-09-15,50,50,0,9,41,4.79
XG-Z9LW-Z27Q,XG-Z9LW-Z27Q-2025-10-20-row926,2025-10-20,12,6,0,9,3,1.99
XH-0LAE-FQO5,XH-0LAE-FQO5-2025-10-20-row928,2025-10-20,305,306,24,281,0,2.9
XH-0LAE-FQO5,XH-0LAE-FQO5-2025-09-15-row865,2025-09-15,350,350,0,20,330,2.9
XH-OMMJ-C7MT,XH-OMMJ-C7MT-2025-04-14-row586,2025-04-14,8,8,0,7,1,2.45
XY-UM2X-TPS3,XY-UM2X-TPS3-2025-05-14-row688,2025-05-14,150,150,36,26,88,4.57
YC-3L3M-BV48,YC-3L3M-BV48-2025-10-06-row893,2025-10-06,16,16,11,3,2,39.61
YO-EKK2-FRCC,YO-EKK2-FRCC-2025-09-09-row845,2025-09-09,10,10,7,3,0,2.38
YO-EKK2-FRCC,YO-EKK2-FRCC-2025-05-05-row654,2025-05-05,10,10,0,2,8,3.28
Z3-ORV9-K8XD,Z3-ORV9-K8XD-2025-05-05-row647,2025-05-05,400,400,0,195,205,6.56
Z7-26PV-O9LR,Z7-26PV-O9LR-2025-09-15-row866,2025-09-15,200,200,16,145,39,4.44
Z9-FBUQ-EZN3,Z9-FBUQ-EZN3-2025-10-06-row889,2025-10-06,17,17,0,12,5,2.89
ZI-1MA2-8QGC,ZI-1MA2-8QGC-2024-10-23-row219,2024-10-23,10,10,0,5,5,8.48
ZT-QPY3-P24I,ZT-QPY3-P24I-2025-11-10-row944,2025-11-10,9,0,0,0,9,34.65
ZT-QPY3-P24I,ZT-QPY3-P24I-2025-10-06-row911,2025-10-06,3,3,2,0,1,34.32
ZU-PFDN-JSYV,ZU-PFDN-JSYV-2025-10-06-row903,2025-10-06,14,14,0,14,0,4.89
ZV-RLOD-Q0JI,ZV-RLOD-Q0JI-2025-09-09-row854,2025-09-09,10,10,0,10,0,7.55
