Date,FNSKU,ASIN,MSKU,Title,Event Type,Reference ID,Quantity,Fulfillment Center,Disposition,Reason,Country,Reconciled Quantity,Unreconciled Quantity,Date and Time
06/08/2026,X002HW0DTF,B0083HIM7U,C6-XGZB-J6QA,"Curaprox CS 1560 Soft Toothbrush – Firmer Brushing Experience | Gentle Plaque Removal for Adults | Single Pack, Random Color | Made in Switzerland",Shipments,,-1,DSA6,SELLABLE,,GB,,,2026-06-08T01:00:00+0100
06/08/2026,X002HW0DTF,B0083HIM7U,C6-XGZB-J6QA,"Curaprox CS 1560 Soft Toothbrush – Firmer Brushing Experience | Gentle Plaque Removal for Adults | Single Pack, Random Color | Made in Switzerland",Shipments,,-1,DSA6,SELLABLE,,GB,,,2026-06-08T01:00:00+0100
06/08/2026,X002HW0DTF,B0083HIM7U,C6-XGZB-J6QA,"Curaprox CS 1560 Soft Toothbrush – Firmer Brushing Experience | Gentle Plaque Removal for Adults | Single Pack, Random Color | Made in Switzerland",Shipments,,-1,DSA6,SELLABLE,,GB,,,2026-06-08T01:00:00+0100
06/08/2026,X002HW0DTF,B0083HIM7U,C6-XGZB-J6QA,"Curaprox CS 1560 Soft Toothbrush – Firmer Brushing Experience | Gentle Plaque Removal for Adults | Single Pack, Random Color | Made in Switzerland",Shipments,,-1,BRS1,SELLABLE,,GB,,,2026-06-08T01:00:00+0100
06/08/2026,X002HW0DTF,B0083HIM7U,C6-XGZB-J6QA,"Curaprox CS 1560 Soft Toothbrush – Firmer Brushing Experience | Gentle Plaque Removal for Adults | Single Pack, Random Color | Made in Switzerland",Shipments,,-1,BRS1,SELLABLE,,GB,,,2026-06-08T01:00:00+0100
06/08/2026,X00293I5FB,B093FQYQJH,NN-TSZ1-X2RD,"Curaprox CS 12460 Velvet Soft Toothbrush – Sensitive Gum Care | Ultra-Gentle Cleaning with 12,460 Filaments | Single Pack, Random Color | Made in Switzerland",WhseTransfers,,1,MAN3,SELLABLE,,GB,,,2026-06-08T01:00:00+0100
06/08/2026,X00293I5FB,B093FQYQJH,NN-TSZ1-X2RD,"Curaprox CS 12460 Velvet Soft Toothbrush – Sensitive Gum Care | Ultra-Gentle Cleaning with 12,460 Filaments | Single Pack, Random Color | Made in Switzerland",Shipments,,-1,MAN3,SELLABLE,,GB,,,2026-06-08T01:00:00+0100
06/08/2026,X00293I5FB,B093FQYQJH,NN-TSZ1-X2RD,"Curaprox CS 12460 Velvet Soft Toothbrush – Sensitive Gum Care | Ultra-Gentle Cleaning with 12,460 Filaments | Single Pack, Random Color | Made in Switzerland",WhseTransfers,,-1,MAN1,SELLABLE,,GB,,,2026-06-08T01:00:00+0100
06/08/2026,X00293I5FB,B093FQYQJH,NN-TSZ1-X2RD,"Curaprox CS 12460 Velvet Soft Toothbrush – Sensitive Gum Care | Ultra-Gentle Cleaning with 12,460 Filaments | Single Pack, Random Color | Made in Switzerland",Shipments,,-1,MAN1,SELLABLE,,GB,,,2026-06-08T01:00:00+0100
06/08/2026,X00293I5FB,B093FQYQJH,NN-TSZ1-X2RD,"Curaprox CS 12460 Velvet Soft Toothbrush – Sensitive Gum Care | Ultra-Gentle Cleaning with 12,460 Filaments | Single Pack, Random Color | Made in Switzerland",Shipments,,-1,MAN1,SELLABLE,,GB,,,2026-06-08T01:00:00+0100
