Date,Order ID,lvl,country_code,SKU,Quantity Ordered,currency_code,Price_Total,Price_VAT,Price_ExVAT,Shipping_Total,Shipping_VAT,Shipping_ExVAT,Gift_Total,Gift_VAT,Gift_ExVAT,Promotion_Total,Promotion_VAT,Promotion_ExVAT,COGS_Total,COGS_VAT,COGS_ExVAT,FBA_Fee_Total,FBA_Fee_VAT,FBA_Fee_ExVAT,Commission_Total,Commission_VAT,Commission_ExVAT,Digital_Fee_Total,Digital_Fee_VAT,Digital_Fee_ExVAT,FixedClosingFee_Total,FixedClosingFee_VAT,FixedClosingFee_ExVAT,Margin_ExVAT,Margin_Pct
2025-11-12T12:16:32Z,202-3247466-2489127,3,GB,R7-98IN-2PW8,1,GBP,5.83,0.97,4.86,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,-1.8,-0.3,-1.5,-0.57,-0.09,-0.48,-0.05,-0.01,-0.04,,,,2.84,58.43621399176955
2025-11-12T12:40:58Z,205-9947412-8613134,3,GB,WX-L5UA-UB1Q,1,GBP,5.98,1.00,4.98,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,-1.82,-0.3,-1.52,-0.94,-0.16,-0.78,-0.05,-0.01,-0.04,,,,2.64,53.01204819277109
2025-11-12T15:07:22Z,206-6681524-8913926,3,GB,WX-L5UA-UB1Q,1,GBP,5.98,1.00,4.98,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,-1.82,-0.3,-1.52,-0.94,-0.16,-0.78,-0.05,-0.01,-0.04,,,,2.64,53.01204819277109
2025-11-12T16:41:23Z,206-0521582-1490762,3,GB,3X-EXDD-TD2K,1,GBP,49.99,8.33,41.66,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,-2.59,-0.43,-2.16,-9.0,-1.5,-7.5,-0.23,-0.04,-0.19,,,,31.81,76.35621699471915
2025-11-12T19:18:02Z,206-2573189-6029115,3,GB,WX-L5UA-UB1Q,1,GBP,5.98,1.00,4.98,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,-1.82,-0.3,-1.52,-0.94,-0.16,-0.78,-0.06,-0.01,-0.05,,,,2.63,52.81124497991969
2025-11-12T19:25:00Z,203-7410913-8175509,0,GB,WX-L5UA-UB1Q,0,GBP,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
2025-11-12T21:38:27Z,205-2799782-7819513,3,GB,WX-L5UA-UB1Q,1,GBP,5.98,1.00,4.98,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,-1.83,-0.31,-1.52,-0.93,-0.15,-0.78,-0.06,-0.01,-0.05,,,,2.63,52.81124497991969
2025-11-12T23:12:33Z,203-0463036-7818745,3,GB,WX-L5UA-UB1Q,1,GBP,5.98,1.00,4.98,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,-1.82,-0.3,-1.52,-0.94,-0.16,-0.78,-0.06,-0.01,-0.05,,,,2.63,52.81124497991969
2025-11-13T09:56:59Z,204-3234232-3820338,3,GB,7L-OT45-7LYB,1,GBP,4.34,0.72,3.62,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,-2.01,-0.34,-1.67,-0.67,-0.11,-0.56,-0.05,-0.01,-0.04,,,,1.35,37.29281767955801
2025-11-13T14:50:49Z,206-0902732-6158733,3,GB,JV-D1TI-6UF6,1,GBP,9.16,1.53,7.63,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,-1.83,-0.31,-1.52,-1.64,-0.27,-1.37,-0.07,-0.01,-0.06,,,,4.68,61.33682830930537
2025-11-13T20:01:06Z,206-9365949-1361167,3,GB,7L-OT45-7LYB,1,GBP,4.34,0.72,3.62,1.00,0.17,0.83,,,,0.0,0.0,0.0,0.0,0.0,0.0,-2.01,-0.34,-1.67,-0.67,-0.11,-0.56,-0.05,-0.01,-0.04,,,,2.18,48.98876404494382
2025-11-14T06:35:56Z,205-3403693-9180328,0,GB,VF-3T0K-DR5O,0,GBP,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
2025-11-14T12:47:33Z,205-8733862-0843521,0,GB,YC-3L3M-BV48,0,GBP,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
2025-11-14T17:35:38Z,171-4696512-5684335,3,IE,7L-OT45-7LYB,1,EUR,4.98,0.93,4.05,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,-1.88,-0.31,-1.57,-0.78,-0.13,-0.65,,,,,,,1.83,45.185185185185176
2025-11-14T19:45:54Z,203-2682346-7943537,0,GB,VF-3T0K-DR5O,0,GBP,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
2025-11-15T10:32:09Z,206-3929240-2502729,0,GB,WX-L5UA-UB1Q,0,GBP,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
2025-11-15T18:23:47Z,206-5955350-9124348,0,GB,6V-EEC1-2S9Z,0,GBP,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
2025-11-15T18:50:40Z,204-2063125-8212334,0,GB,VF-3T0K-DR5O,0,GBP,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
2025-11-15T18:52:37Z,205-1735856-4320326,0,GB,VF-3T0K-DR5O,0,GBP,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
2025-11-15T19:16:02Z,205-1303603-5339523,0,GB,VF-3T0K-DR5O,0,GBP,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
2025-11-15T20:17:15Z,206-0265397-6980346,0,GB,VF-3T0K-DR5O,0,GBP,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
2025-11-16T10:01:18Z,203-2193346-4327533,0,GB,VF-3T0K-DR5O,0,GBP,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
2025-11-16T11:43:19Z,205-6869339-0545117,0,GB,VF-3T0K-DR5O,0,GBP,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
2025-11-16T12:24:33Z,202-2605993-9194753,0,GB,VF-3T0K-DR5O,0,GBP,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
2025-11-16T14:05:22Z,206-8639622-3252369,0,GB,VF-3T0K-DR5O,0,GBP,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
2025-11-16T14:21:37Z,026-4211023-3676307,0,GB,VF-3T0K-DR5O,0,GBP,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
2025-11-16T20:07:47Z,202-0163994-2560302,0,GB,N7-A24N-WJA7,0,GBP,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
2025-11-16T20:38:36Z,204-9143575-8328365,0,GB,VF-3T0K-DR5O,0,GBP,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
2025-11-17T01:23:19Z,206-8163752-5528353,0,GB,VF-3T0K-DR5O,0,GBP,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
2025-11-17T02:23:20Z,206-4540515-0895568,0,GB,6V-EEC1-2S9Z,0,GBP,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
2025-11-17T02:53:18Z,204-6365301-6892337,0,GB,VF-3T0K-DR5O,0,GBP,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
