posted_date,transaction_type,amount_type,is_fee,amount,currency,tax_amount,tax_currency,order_id,shipment_id,inbound_shipment_id,fee_reason,fee_description,parsed_fba_shipment_id,date,date_source
,ServiceFee,FBAStorageFee,True,-0.88,GBP,,,,,,,,,2026-06-10,estimated
,ServiceFee,FBAStorageFee,True,-1.82,GBP,,,,,,,,,2026-06-10,estimated
,ServiceFee,FBAStorageFee,True,-0.34,GBP,,,,,,,,,2026-06-10,estimated
,ServiceFee,FBAStorageFee,True,-0.98,GBP,,,,,,,,,2026-06-10,estimated
,ServiceFee,FBAStorageFee,True,-2.23,GBP,,,,,,,,,2026-06-10,estimated
,ServiceFee,FBAStorageFee,True,-1.62,GBP,,,,,,,,,2026-06-10,estimated
,ServiceFee,FBAStorageFee,True,-0.29,GBP,,,,,,,,,2026-06-10,estimated
,ServiceFee,FBAStorageFee,True,-0.35,GBP,,,,,,,,,2026-06-10,estimated
,ServiceFee,FBAStorageFee,True,-0.39,GBP,,,,,,,,,2026-06-10,estimated
,ServiceFee,FBAStorageFee,True,-4.3,GBP,,,,,,,,,2026-06-10,estimated
,ServiceFee,FBAStorageFee,True,-4.24,GBP,,,,,,,,,2026-06-10,estimated
