order_id,order_date,seller_sku,quantity,token_id,token_cost,currency,allocation_date,source_level,notes
026-4368524-8509100,2026-01-04T20:40:39Z,WX-L5UA-UB1Q,1,WX-L5UA-UB1Q1-0049,1.61,GBP,2026-01-19T13:53:15Z,3,backdate_all
205-0802609-6471515,2026-01-04T21:18:06Z,WX-L5UA-UB1Q,1,WX-L5UA-UB1Q1-0050,1.61,GBP,2026-01-19T13:53:15Z,3,backdate_all
202-4901433-6699536,2026-01-04T22:31:08Z,WX-L5UA-UB1Q,1,WX-L5UA-UB1Q1-0051,1.61,GBP,2026-01-19T13:53:15Z,3,backdate_all
202-6401427-1464328,2026-01-04T22:59:09Z,WX-L5UA-UB1Q,1,WX-L5UA-UB1Q1-0052,1.61,GBP,2026-01-19T13:53:15Z,3,backdate_all
206-8488855-7743559,2026-01-05T06:47:58Z,WX-L5UA-UB1Q,1,WX-L5UA-UB1Q1-0053,1.61,GBP,2026-01-19T13:53:15Z,3,backdate_all
202-8029078-3058757,2026-01-05T08:39:12Z,WX-L5UA-UB1Q,1,WX-L5UA-UB1Q1-0054,1.61,GBP,2026-01-19T13:53:15Z,3,backdate_all
026-2501126-0725907,2026-01-05T10:40:31Z,WX-L5UA-UB1Q,1,WX-L5UA-UB1Q1-0055,1.61,GBP,2026-01-19T13:53:15Z,3,backdate_all
202-6817376-3911564,2026-01-05T12:20:31Z,WX-L5UA-UB1Q,1,WX-L5UA-UB1Q1-0056,1.61,GBP,2026-01-19T13:53:15Z,3,backdate_all
202-1298085-1918722,2026-01-05T15:10:10Z,WX-L5UA-UB1Q,1,WX-L5UA-UB1Q1-0057,1.61,GBP,2026-01-19T13:53:15Z,3,backdate_all
203-7099412-5128356,2026-01-05T18:52:51Z,WX-L5UA-UB1Q,1,WX-L5UA-UB1Q1-0058,1.61,GBP,2026-01-19T13:53:15Z,3,backdate_all
203-7099412-5128356,2026-01-05T18:52:51Z,WX-L5UA-UB1Q,1,WX-L5UA-UB1Q1-0059,1.61,GBP,2026-01-19T13:53:15Z,3,backdate_all
202-9732844-0423543,2026-01-05T19:03:27Z,WX-L5UA-UB1Q,1,WX-L5UA-UB1Q1-0060,1.61,GBP,2026-01-19T13:53:15Z,3,backdate_all
206-6090933-1739537,2026-01-05T19:30:30Z,WX-L5UA-UB1Q,1,WX-L5UA-UB1Q1-0061,1.61,GBP,2026-01-19T13:53:15Z,3,backdate_all
205-2167618-3889154,2026-01-05T20:45:01Z,WX-L5UA-UB1Q,1,WX-L5UA-UB1Q1-0062,1.61,GBP,2026-01-19T13:53:15Z,3,backdate_all
026-0645659-4564332,2026-01-05T20:57:40Z,WX-L5UA-UB1Q,1,WX-L5UA-UB1Q1-0063,1.61,GBP,2026-01-19T13:53:15Z,3,backdate_all
026-3447841-7564328,2026-01-05T22:06:25Z,WX-L5UA-UB1Q,1,WX-L5UA-UB1Q1-0064,1.61,GBP,2026-01-19T13:53:15Z,3,backdate_all
203-4590248-8459533,2026-01-06T01:17:55Z,WX-L5UA-UB1Q,1,WX-L5UA-UB1Q1-0065,1.61,GBP,2026-01-19T13:53:15Z,3,backdate_all
204-2593754-7026765,2026-01-06T05:32:18Z,WX-L5UA-UB1Q,1,WX-L5UA-UB1Q1-0066,1.61,GBP,2026-01-19T13:53:15Z,3,backdate_all
204-7767924-5346758,2026-01-06T07:27:06Z,WX-L5UA-UB1Q,1,WX-L5UA-UB1Q1-0067,1.61,GBP,2026-01-19T13:53:15Z,3,backdate_all
205-7627587-1629916,2026-01-06T07:37:35Z,WX-L5UA-UB1Q,1,WX-L5UA-UB1Q1-0068,1.61,GBP,2026-01-19T13:53:15Z,3,backdate_all
204-0102184-1857925,2026-01-06T10:02:48Z,WX-L5UA-UB1Q,1,WX-L5UA-UB1Q1-0069,1.61,GBP,2026-01-19T13:53:15Z,3,backdate_all
204-0313456-8814776,2026-01-06T13:13:52Z,WX-L5UA-UB1Q,1,WX-L5UA-UB1Q1-0070,1.61,GBP,2026-01-19T13:53:15Z,3,backdate_all
203-3494066-8969953,2026-01-06T13:18:27Z,WX-L5UA-UB1Q,1,WX-L5UA-UB1Q1-0071,1.61,GBP,2026-01-19T13:53:15Z,3,backdate_all
204-4499648-8500300,2026-01-06T14:13:21Z,WX-L5UA-UB1Q,1,WX-L5UA-UB1Q1-0072,1.61,GBP,2026-01-19T13:53:15Z,3,backdate_all
205-8171026-6731549,2026-01-06T14:54:55Z,WX-L5UA-UB1Q,1,WX-L5UA-UB1Q1-0073,1.61,GBP,2026-01-19T13:53:15Z,3,backdate_all
026-5037923-1033119,2026-01-07T13:54:40Z,WX-L5UA-UB1Q,1,WX-L5UA-UB1Q1-0074,1.61,GBP,2026-01-19T13:53:15Z,3,backdate_all
026-4545376-7121123,2026-01-07T17:09:49Z,WX-L5UA-UB1Q,1,WX-L5UA-UB1Q1-0075,1.61,GBP,2026-01-19T13:53:15Z,3,backdate_all
203-7135371-4841158,2026-01-07T19:48:55Z,WX-L5UA-UB1Q,1,WX-L5UA-UB1Q1-0076,1.61,GBP,2026-01-19T13:53:15Z,3,backdate_all
026-4863088-8796330,2026-01-07T22:15:28Z,WX-L5UA-UB1Q,1,WX-L5UA-UB1Q1-0077,1.61,GBP,2026-01-19T13:53:15Z,3,backdate_all
205-0500129-0222742,2026-01-07T22:28:56Z,WX-L5UA-UB1Q,1,WX-L5UA-UB1Q1-0078,1.61,GBP,2026-01-19T13:53:15Z,3,backdate_all
202-9732458-2473169,2026-01-08T06:01:07Z,WX-L5UA-UB1Q,1,WX-L5UA-UB1Q1-0079,1.61,GBP,2026-01-19T13:53:15Z,3,backdate_all
026-4060452-5057117,2026-01-08T11:12:42Z,WX-L5UA-UB1Q,1,WX-L5UA-UB1Q1-0080,1.61,GBP,2026-01-19T13:53:15Z,3,backdate_all
202-0100069-1438779,2026-01-08T15:18:47Z,WX-L5UA-UB1Q,1,WX-L5UA-UB1Q1-0081,1.61,GBP,2026-01-19T13:53:15Z,3,backdate_all
203-2374980-0806763,2026-01-08T16:00:10Z,WX-L5UA-UB1Q,1,WX-L5UA-UB1Q1-0082,1.61,GBP,2026-01-19T13:53:15Z,3,backdate_all
205-7450453-3786764,2026-01-08T21:12:01Z,WX-L5UA-UB1Q,1,WX-L5UA-UB1Q1-0083,1.61,GBP,2026-01-19T13:53:15Z,3,backdate_all
202-4367245-4593960,2026-01-09T08:52:02Z,WX-L5UA-UB1Q,1,WX-L5UA-UB1Q1-0084,1.61,GBP,2026-01-19T13:53:15Z,3,backdate_all
205-0767213-2917904,2026-01-09T10:59:01Z,WX-L5UA-UB1Q,1,WX-L5UA-UB1Q1-0085,1.61,GBP,2026-01-19T13:53:15Z,3,backdate_all
202-5973204-1836350,2026-01-09T14:53:44Z,WX-L5UA-UB1Q,1,WX-L5UA-UB1Q1-0086,1.61,GBP,2026-01-19T13:53:15Z,3,backdate_all
203-0310058-9573145,2026-01-09T18:05:50Z,WX-L5UA-UB1Q,1,WX-L5UA-UB1Q1-0087,1.61,GBP,2026-01-19T13:53:15Z,3,backdate_all
026-1213119-5142735,2026-01-09T20:18:48Z,WX-L5UA-UB1Q,1,WX-L5UA-UB1Q1-0088,1.61,GBP,2026-01-19T13:53:15Z,3,backdate_all
205-3093647-6751569,2026-01-10T08:51:44Z,WX-L5UA-UB1Q,1,WX-L5UA-UB1Q1-0089,1.61,GBP,2026-01-19T13:53:15Z,3,backdate_all
