order_id,currency,principal,shipping,giftwrap,tax,shipping_tax,giftwrap_tax,referral_fee,referral_fee_tax,fba_fee,fba_fee_tax,dsf_fee,dsf_fee_tax,fixed_fee,other_fee,posted_date,settlement_id
203-0247308-9057105,GBP,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2025-12-11T22:36:26Z,203-0247308-9057105
203-0908282-3036315,GBP,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2025-12-11T20:55:23Z,203-0908282-3036315
203-2063903-5917145,GBP,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2025-12-11T20:49:50Z,203-2063903-5917145
203-2461262-9556335,GBP,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2025-12-11T21:16:31Z,203-2461262-9556335
203-2546646-9464316,GBP,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2025-12-11T22:26:07Z,203-2546646-9464316
203-3114135-9043502,GBP,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2025-12-11T22:45:12Z,203-3114135-9043502
203-3895894-8021919,GBP,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2025-12-11T23:30:45Z,203-3895894-8021919
203-4044717-7224310,GBP,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2025-12-11T23:34:24Z,203-4044717-7224310
203-6167444-0514717,GBP,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2025-12-11T19:39:43Z,203-6167444-0514717
203-6174693-3951546,GBP,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2025-12-11T23:20:15Z,203-6174693-3951546
203-8478030-9240324,GBP,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2025-12-11T21:17:20Z,203-8478030-9240324
203-9455319-9937952,GBP,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2025-12-11T20:15:24Z,203-9455319-9937952
204-0111325-7577168,GBP,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2025-12-11T23:30:02Z,204-0111325-7577168
204-0180603-3801963,GBP,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2025-12-11T23:47:29Z,204-0180603-3801963
204-1155284-6733958,GBP,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2025-12-11T21:11:15Z,204-1155284-6733958
204-1802328-6509910,GBP,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2025-12-11T23:09:05Z,204-1802328-6509910
204-1810084-2885155,GBP,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2025-12-11T21:42:24Z,204-1810084-2885155
204-2180773-1373911,GBP,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2025-12-11T20:24:18Z,204-2180773-1373911
204-2788090-8973166,GBP,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2025-12-11T21:12:26Z,204-2788090-8973166
204-4769572-6853931,GBP,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2025-12-11T20:53:27Z,204-4769572-6853931
204-6225192-3648323,GBP,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2025-12-11T20:39:15Z,204-6225192-3648323
204-6610466-6558758,GBP,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2025-12-11T17:49:59Z,204-6610466-6558758
204-7439460-8865114,GBP,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2025-12-11T21:45:07Z,204-7439460-8865114
204-7714344-0925927,GBP,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2025-12-12T00:05:17Z,204-7714344-0925927
204-8102398-9167514,GBP,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2025-12-11T18:06:13Z,204-8102398-9167514
204-9527013-2383559,GBP,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2025-12-11T22:05:02Z,204-9527013-2383559
204-9669182-0199546,GBP,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2025-12-11T23:54:52Z,204-9669182-0199546
204-9862317-2637123,GBP,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2025-12-11T23:01:37Z,204-9862317-2637123
205-0422561-1629116,GBP,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2025-12-11T22:59:04Z,205-0422561-1629116
205-1311985-5770768,GBP,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2025-12-11T18:58:08Z,205-1311985-5770768
205-1665410-1035522,GBP,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2025-12-12T00:03:01Z,205-1665410-1035522
205-2117088-7647520,GBP,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2025-12-11T22:48:10Z,205-2117088-7647520
205-2477073-9541127,GBP,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2025-12-11T18:11:21Z,205-2477073-9541127
205-3568786-3434743,GBP,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2025-12-11T23:03:53Z,205-3568786-3434743
205-3686984-7489152,GBP,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2025-12-11T20:50:04Z,205-3686984-7489152
205-4521401-6401160,GBP,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2025-12-11T22:53:14Z,205-4521401-6401160
205-4649788-2813104,GBP,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2025-12-11T20:58:12Z,205-4649788-2813104
205-5100330-6618711,GBP,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2025-12-12T00:03:04Z,205-5100330-6618711
205-5314536-3301130,GBP,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2025-12-11T19:18:58Z,205-5314536-3301130
205-6329509-4507567,GBP,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2025-12-11T17:19:41Z,205-6329509-4507567
205-6634263-3422766,GBP,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2025-12-11T21:28:38Z,205-6634263-3422766
