order_id,asin,sku,posted_date,transaction_type,amount_type,is_fee,amount,currency,tax_amount,tax_currency,tax_present
205-9848080-5999567,,6V-EEC1-2S9Z,2025-11-08T21:18:48Z,Refund,Refund_GiftwrapChargeback,True,,GBP,,,False
205-9848080-5999567,,6V-EEC1-2S9Z,2025-11-08T21:18:48Z,Refund,Refund_RefundCommission,True,-0.22,GBP,,,False
205-9848080-5999567,,6V-EEC1-2S9Z,2025-11-08T21:18:48Z,Refund,Refund_ShippingChargeback,True,,GBP,,,False
205-9848080-5999567,,6V-EEC1-2S9Z,2025-11-08T21:18:48Z,Refund,Refund_VariableClosingFee,True,,GBP,,,False
205-9848080-5999567,,6V-EEC1-2S9Z,2025-11-08T21:18:48Z,Refund,Refund_DigitalServicesFee,True,0.03,GBP,,,False
204-2296798-6109936,,A9-2Y9G-M2K7,2025-11-09T16:40:50Z,Refund,Refund_Tax,False,-1.08,GBP,,,False
204-2296798-6109936,,A9-2Y9G-M2K7,2025-11-09T16:40:50Z,Refund,Refund_Principal,False,-5.41,GBP,,,False
204-2296798-6109936,,A9-2Y9G-M2K7,2025-11-09T16:40:50Z,Refund,Refund_Commission,True,1.01,GBP,,,False
204-2296798-6109936,,A9-2Y9G-M2K7,2025-11-09T16:40:50Z,Refund,Refund_FixedClosingFee,True,,GBP,,,False
204-2296798-6109936,,A9-2Y9G-M2K7,2025-11-09T16:40:50Z,Refund,Refund_GiftwrapChargeback,True,,GBP,,,False
204-2296798-6109936,,A9-2Y9G-M2K7,2025-11-09T16:40:50Z,Refund,Refund_RefundCommission,True,-0.2,GBP,,,False
204-2296798-6109936,,A9-2Y9G-M2K7,2025-11-09T16:40:50Z,Refund,Refund_ShippingChargeback,True,,GBP,,,False
204-2296798-6109936,,A9-2Y9G-M2K7,2025-11-09T16:40:50Z,Refund,Refund_VariableClosingFee,True,,GBP,,,False
204-2296798-6109936,,A9-2Y9G-M2K7,2025-11-09T16:40:50Z,Refund,Refund_DigitalServicesFee,True,0.02,GBP,,,False
205-0145944-5920303,,LV-425G-BY4X,2025-11-09T20:01:32Z,Refund,Refund_Tax,False,,GBP,,,False
205-0145944-5920303,,LV-425G-BY4X,2025-11-09T20:01:32Z,Refund,Refund_Principal,False,-34.29,GBP,,,False
205-0145944-5920303,,LV-425G-BY4X,2025-11-09T20:01:32Z,Refund,Refund_Commission,True,6.17,GBP,,,False
205-0145944-5920303,,LV-425G-BY4X,2025-11-09T20:01:32Z,Refund,Refund_FixedClosingFee,True,,GBP,,,False
205-0145944-5920303,,LV-425G-BY4X,2025-11-09T20:01:32Z,Refund,Refund_GiftwrapChargeback,True,,GBP,,,False
205-0145944-5920303,,LV-425G-BY4X,2025-11-09T20:01:32Z,Refund,Refund_RefundCommission,True,-1.24,GBP,,,False
205-0145944-5920303,,LV-425G-BY4X,2025-11-09T20:01:32Z,Refund,Refund_ShippingChargeback,True,,GBP,,,False
205-0145944-5920303,,LV-425G-BY4X,2025-11-09T20:01:32Z,Refund,Refund_VariableClosingFee,True,,GBP,,,False
205-0145944-5920303,,LV-425G-BY4X,2025-11-09T20:01:32Z,Refund,Refund_DigitalServicesFee,True,0.12,GBP,,,False
206-7154400-1240327,,MW-9K5M-VKW8,2025-11-10T17:00:50Z,Refund,Refund_Tax,False,-4.5,GBP,,,False
206-7154400-1240327,,MW-9K5M-VKW8,2025-11-10T17:00:50Z,Refund,Refund_Principal,False,-22.5,GBP,,,False
206-7154400-1240327,,MW-9K5M-VKW8,2025-11-10T17:00:50Z,Refund,Refund_Commission,True,4.86,GBP,,,False
206-7154400-1240327,,MW-9K5M-VKW8,2025-11-10T17:00:50Z,Refund,Refund_FixedClosingFee,True,,GBP,,,False
206-7154400-1240327,,MW-9K5M-VKW8,2025-11-10T17:00:50Z,Refund,Refund_GiftwrapChargeback,True,,GBP,,,False
206-7154400-1240327,,MW-9K5M-VKW8,2025-11-10T17:00:50Z,Refund,Refund_RefundCommission,True,-0.97,GBP,,,False
206-7154400-1240327,,MW-9K5M-VKW8,2025-11-10T17:00:50Z,Refund,Refund_ShippingChargeback,True,,GBP,,,False
206-7154400-1240327,,MW-9K5M-VKW8,2025-11-10T17:00:50Z,Refund,Refund_VariableClosingFee,True,,GBP,,,False
206-7154400-1240327,,MW-9K5M-VKW8,2025-11-10T17:00:50Z,Refund,Refund_DigitalServicesFee,True,0.1,GBP,,,False
026-8466930-0174730,,G8-L8EI-INMK,2025-11-10T18:21:09Z,Refund,Refund_Tax,False,-1.0,GBP,,,False
026-8466930-0174730,,G8-L8EI-INMK,2025-11-10T18:21:09Z,Refund,Refund_Principal,False,-4.99,GBP,,,False
026-8466930-0174730,,G8-L8EI-INMK,2025-11-10T18:21:09Z,Refund,Refund_Commission,True,0.58,GBP,,,False
026-8466930-0174730,,G8-L8EI-INMK,2025-11-10T18:21:09Z,Refund,Refund_FixedClosingFee,True,,GBP,,,False
026-8466930-0174730,,G8-L8EI-INMK,2025-11-10T18:21:09Z,Refund,Refund_GiftwrapChargeback,True,,GBP,,,False
026-8466930-0174730,,G8-L8EI-INMK,2025-11-10T18:21:09Z,Refund,Refund_RefundCommission,True,-0.12,GBP,,,False
026-8466930-0174730,,G8-L8EI-INMK,2025-11-10T18:21:09Z,Refund,Refund_ShippingChargeback,True,,GBP,,,False
