order_id,posted_date,settlement_id,amount_type,amount,currency,transaction_type,amount_description,is_estimate,data_level,price_source,raw_json
202-2591431-2897930,2025-12-09T23:38:00Z,,Principal,8.44,GBP,Estimated,Estimated product charges,1,customer_known,none,"{""generated_at"":""2025-12-12T14:36:52.393652+00:00"",""order_id"":""202-2591431-2897930"",""source_used"":""missing_fee_data"",""missing_fee_data"":true,""amount_type"":""Principal""}"
202-2591431-2897930,2025-12-09T23:38:00Z,,Tax,1.41,GBP,Estimated,Estimated product tax,1,customer_known,none,"{""generated_at"":""2025-12-12T14:36:52.393652+00:00"",""order_id"":""202-2591431-2897930"",""source_used"":""missing_fee_data"",""missing_fee_data"":true,""amount_type"":""Tax""}"
205-2671880-4433108,2025-12-10T10:28:27Z,,Principal,6.2,GBP,Estimated,Estimated product charges,1,customer_known,none,"{""generated_at"":""2025-12-12T14:36:52.394655+00:00"",""order_id"":""205-2671880-4433108"",""source_used"":""missing_fee_data"",""missing_fee_data"":true,""amount_type"":""Principal""}"
205-2671880-4433108,2025-12-10T10:28:27Z,,Tax,1.03,GBP,Estimated,Estimated product tax,1,customer_known,none,"{""generated_at"":""2025-12-12T14:36:52.394655+00:00"",""order_id"":""205-2671880-4433108"",""source_used"":""missing_fee_data"",""missing_fee_data"":true,""amount_type"":""Tax""}"
026-6800024-4937155,2025-12-09T15:53:18Z,,Principal,6.2,GBP,Estimated,Estimated product charges,1,customer_known,none,"{""generated_at"":""2025-12-12T14:36:52.394655+00:00"",""order_id"":""026-6800024-4937155"",""source_used"":""missing_fee_data"",""missing_fee_data"":true,""amount_type"":""Principal""}"
026-6800024-4937155,2025-12-09T15:53:18Z,,Tax,1.03,GBP,Estimated,Estimated product tax,1,customer_known,none,"{""generated_at"":""2025-12-12T14:36:52.394655+00:00"",""order_id"":""026-6800024-4937155"",""source_used"":""missing_fee_data"",""missing_fee_data"":true,""amount_type"":""Tax""}"
202-1571401-1552357,2025-12-09T13:22:13Z,,Principal,6.7,GBP,Estimated,Estimated product charges,1,customer_known,none,"{""generated_at"":""2025-12-12T14:36:52.395654+00:00"",""order_id"":""202-1571401-1552357"",""source_used"":""missing_fee_data"",""missing_fee_data"":true,""amount_type"":""Principal""}"
202-1571401-1552357,2025-12-09T13:22:13Z,,Tax,1.12,GBP,Estimated,Estimated product tax,1,customer_known,none,"{""generated_at"":""2025-12-12T14:36:52.395654+00:00"",""order_id"":""202-1571401-1552357"",""source_used"":""missing_fee_data"",""missing_fee_data"":true,""amount_type"":""Tax""}"
204-1157518-7445156,2025-12-09T21:46:00Z,,Principal,6.74,GBP,Estimated,Estimated product charges,1,customer_known,none,"{""generated_at"":""2025-12-12T14:36:52.395654+00:00"",""order_id"":""204-1157518-7445156"",""source_used"":""missing_fee_data"",""missing_fee_data"":true,""amount_type"":""Principal""}"
204-1157518-7445156,2025-12-09T21:46:00Z,,Tax,1.12,GBP,Estimated,Estimated product tax,1,customer_known,none,"{""generated_at"":""2025-12-12T14:36:52.395654+00:00"",""order_id"":""204-1157518-7445156"",""source_used"":""missing_fee_data"",""missing_fee_data"":true,""amount_type"":""Tax""}"
203-2547918-9548308,2025-12-09T10:43:52Z,,Principal,6.48,GBP,Estimated,Estimated product charges,1,customer_known,none,"{""generated_at"":""2025-12-12T14:36:52.396652+00:00"",""order_id"":""203-2547918-9548308"",""source_used"":""missing_fee_data"",""missing_fee_data"":true,""amount_type"":""Principal""}"
203-2547918-9548308,2025-12-09T10:43:52Z,,Tax,1.08,GBP,Estimated,Estimated product tax,1,customer_known,none,"{""generated_at"":""2025-12-12T14:36:52.396652+00:00"",""order_id"":""203-2547918-9548308"",""source_used"":""missing_fee_data"",""missing_fee_data"":true,""amount_type"":""Tax""}"
203-0412202-0700310,2025-12-10T04:22:09Z,,Principal,10.99,GBP,Estimated,Estimated product charges,1,customer_known,none,"{""generated_at"":""2025-12-12T14:36:52.396652+00:00"",""order_id"":""203-0412202-0700310"",""source_used"":""missing_fee_data"",""missing_fee_data"":true,""amount_type"":""Principal""}"
203-0412202-0700310,2025-12-10T04:22:09Z,,Tax,1.83,GBP,Estimated,Estimated product tax,1,customer_known,none,"{""generated_at"":""2025-12-12T14:36:52.396652+00:00"",""order_id"":""203-0412202-0700310"",""source_used"":""missing_fee_data"",""missing_fee_data"":true,""amount_type"":""Tax""}"
