timestamp,orphan_count,window_start,window_end,action,earliest_orphan
2026-02-16T17:53:15Z,635,2026-02-02T17:10:11Z,2026-02-16T17:10:11Z,b004_failed_after_recovery_rc_1,
2026-02-16T18:53:56Z,635,2026-02-02T18:33:21Z,2026-02-16T18:33:21Z,b004_failed_after_recovery_rc_1,
2026-02-16T19:54:05Z,635,2026-02-02T18:46:55Z,2026-02-16T18:46:55Z,b004_failed_after_recovery_rc_1,
2026-02-16T20:56:22Z,635,2026-02-02T18:46:55Z,2026-02-16T18:46:55Z,b004_failed_after_recovery_rc_1,
2026-02-16T21:59:03Z,635,2026-02-02T21:32:20Z,2026-02-16T21:32:20Z,b004_failed_after_recovery_rc_1,
2026-02-16T23:01:34Z,635,2026-02-02T22:52:12Z,2026-02-16T22:52:12Z,b004_failed_after_recovery_rc_1,
2026-02-17T00:03:20Z,635,2026-02-02T22:52:12Z,2026-02-16T22:52:12Z,b004_failed_after_recovery_rc_1,
2026-02-17T01:05:37Z,635,2026-02-02T22:52:12Z,2026-02-16T22:52:12Z,b004_failed_after_recovery_rc_1,
2026-02-17T02:07:52Z,635,2026-02-02T22:52:12Z,2026-02-16T22:52:12Z,b004_failed_after_recovery_rc_1,
2026-02-17T03:09:26Z,635,2026-02-03T02:51:40Z,2026-02-17T02:51:40Z,b004_failed_after_recovery_rc_1,
2026-02-17T04:11:05Z,635,2026-02-03T02:51:40Z,2026-02-17T02:51:40Z,b004_failed_after_recovery_rc_1,
2026-02-17T05:12:33Z,635,2026-02-03T02:51:40Z,2026-02-17T02:51:40Z,b004_failed_after_recovery_rc_1,
2026-02-17T08:53:21Z,635,2026-02-03T08:36:16Z,2026-02-17T08:36:16Z,b004_failed_after_recovery_rc_1,
2026-02-17T09:57:39Z,635,2026-02-03T08:36:16Z,2026-02-17T08:36:16Z,b004_failed_after_recovery_rc_1,
2026-02-17T11:01:33Z,635,2026-02-03T10:43:39Z,2026-02-17T10:43:39Z,b004_failed_after_recovery_rc_1,
2026-02-17T12:05:09Z,635,2026-02-03T11:26:50Z,2026-02-17T11:26:50Z,b004_failed_after_recovery_rc_1,
2026-02-17T13:28:19Z,635,2026-02-03T11:26:50Z,2026-02-17T11:26:50Z,b004_failed_after_recovery_rc_1,
2026-02-17T14:31:31Z,635,2026-02-03T11:26:50Z,2026-02-17T11:26:50Z,b004_failed_after_recovery_rc_1,
2026-02-17T15:34:33Z,635,2026-02-03T11:26:50Z,2026-02-17T11:26:50Z,b004_failed_after_recovery_rc_1,
2026-02-17T17:42:15Z,635,2026-02-03T17:18:04Z,2026-02-17T17:18:04Z,b004_failed_after_recovery_rc_1,
2026-02-17T18:44:54Z,635,2026-02-03T17:18:04Z,2026-02-17T17:18:04Z,b004_failed_after_recovery_rc_1,
2026-02-17T19:46:01Z,635,2026-02-03T19:04:23Z,2026-02-17T19:04:23Z,b004_failed_after_recovery_rc_1,
2026-02-17T20:43:43Z,635,2026-02-03T19:38:05Z,2026-02-17T19:38:05Z,orphans_remain_after_lookback,
2026-02-17T21:51:06Z,635,2026-02-03T19:38:05Z,2026-02-17T19:38:05Z,b004_failed_after_recovery_rc_1,
2026-02-17T22:54:02Z,635,2026-02-03T19:38:05Z,2026-02-17T19:38:05Z,b004_failed_after_recovery_rc_1,
2026-02-17T23:51:16Z,635,2026-02-03T19:38:05Z,2026-02-17T19:38:05Z,orphans_remain_after_lookback,
2026-02-18T01:00:38Z,635,2026-02-03T19:38:05Z,2026-02-17T19:38:05Z,b004_failed_after_recovery_rc_1,
2026-02-18T01:58:54Z,635,2026-02-03T19:38:05Z,2026-02-17T19:38:05Z,orphans_remain_after_lookback,
2026-02-18T03:03:12Z,635,2026-02-03T19:38:05Z,2026-02-17T19:38:05Z,orphans_remain_after_lookback,
2026-02-18T04:12:33Z,635,2026-02-03T19:38:05Z,2026-02-17T19:38:05Z,b004_failed_after_recovery_rc_1,
2026-02-18T05:14:46Z,635,2026-02-03T19:38:05Z,2026-02-17T19:38:05Z,b004_failed_after_recovery_rc_1,
2026-02-18T09:19:36Z,635,2026-02-04T08:57:26Z,2026-02-18T08:57:26Z,b004_failed_after_recovery_rc_1,
2026-02-18T10:22:11Z,635,2026-02-04T09:35:20Z,2026-02-18T09:35:20Z,b004_failed_after_recovery_rc_1,
2026-02-18T11:26:02Z,635,2026-02-04T09:35:20Z,2026-02-18T09:35:20Z,b004_failed_after_recovery_rc_1,
