order_id,posted_date,settlement_id,amount_type,amount,currency
205-5314536-3301130,2025-12-11T19:18:58Z,205-5314536-3301130,FixedClosingFee,,GBP
205-5314536-3301130,2025-12-11T19:18:58Z,205-5314536-3301130,GiftwrapChargeback,,GBP
205-5314536-3301130,2025-12-11T19:18:58Z,205-5314536-3301130,ShippingChargeback,,GBP
205-5314536-3301130,2025-12-11T19:18:58Z,205-5314536-3301130,VariableClosingFee,,GBP
205-5314536-3301130,2025-12-11T19:18:58Z,205-5314536-3301130,DigitalServicesFee,,GBP
026-4647431-9127565,2025-12-11T19:25:28Z,026-4647431-9127565,Principal,,GBP
026-4647431-9127565,2025-12-11T19:25:28Z,026-4647431-9127565,Tax,,GBP
026-4647431-9127565,2025-12-11T19:25:28Z,026-4647431-9127565,GiftWrap,,GBP
026-4647431-9127565,2025-12-11T19:25:28Z,026-4647431-9127565,GiftWrapTax,,GBP
026-4647431-9127565,2025-12-11T19:25:28Z,026-4647431-9127565,ShippingCharge,,GBP
026-4647431-9127565,2025-12-11T19:25:28Z,026-4647431-9127565,ShippingTax,,GBP
026-4647431-9127565,2025-12-11T19:25:28Z,026-4647431-9127565,FBAPerUnitFulfillmentFee,,GBP
026-4647431-9127565,2025-12-11T19:25:28Z,026-4647431-9127565,Commission,,GBP
026-4647431-9127565,2025-12-11T19:25:28Z,026-4647431-9127565,FixedClosingFee,,GBP
026-4647431-9127565,2025-12-11T19:25:28Z,026-4647431-9127565,GiftwrapChargeback,,GBP
026-4647431-9127565,2025-12-11T19:25:28Z,026-4647431-9127565,ShippingChargeback,,GBP
026-4647431-9127565,2025-12-11T19:25:28Z,026-4647431-9127565,VariableClosingFee,,GBP
026-4647431-9127565,2025-12-11T19:25:28Z,026-4647431-9127565,DigitalServicesFee,,GBP
206-0164904-4909121,2025-12-11T19:38:13Z,206-0164904-4909121,Principal,,GBP
206-0164904-4909121,2025-12-11T19:38:13Z,206-0164904-4909121,Tax,,GBP
206-0164904-4909121,2025-12-11T19:38:13Z,206-0164904-4909121,GiftWrap,,GBP
206-0164904-4909121,2025-12-11T19:38:13Z,206-0164904-4909121,GiftWrapTax,,GBP
206-0164904-4909121,2025-12-11T19:38:13Z,206-0164904-4909121,ShippingCharge,,GBP
206-0164904-4909121,2025-12-11T19:38:13Z,206-0164904-4909121,ShippingTax,,GBP
206-0164904-4909121,2025-12-11T19:38:13Z,206-0164904-4909121,FBAPerUnitFulfillmentFee,,GBP
206-0164904-4909121,2025-12-11T19:38:13Z,206-0164904-4909121,Commission,,GBP
206-0164904-4909121,2025-12-11T19:38:13Z,206-0164904-4909121,FixedClosingFee,,GBP
206-0164904-4909121,2025-12-11T19:38:13Z,206-0164904-4909121,GiftwrapChargeback,,GBP
206-0164904-4909121,2025-12-11T19:38:13Z,206-0164904-4909121,ShippingChargeback,,GBP
206-0164904-4909121,2025-12-11T19:38:13Z,206-0164904-4909121,VariableClosingFee,,GBP
206-0164904-4909121,2025-12-11T19:38:13Z,206-0164904-4909121,DigitalServicesFee,,GBP
203-6167444-0514717,2025-12-11T19:39:43Z,203-6167444-0514717,Principal,,GBP
203-6167444-0514717,2025-12-11T19:39:43Z,203-6167444-0514717,Tax,,GBP
203-6167444-0514717,2025-12-11T19:39:43Z,203-6167444-0514717,GiftWrap,,GBP
203-6167444-0514717,2025-12-11T19:39:43Z,203-6167444-0514717,GiftWrapTax,,GBP
203-6167444-0514717,2025-12-11T19:39:43Z,203-6167444-0514717,ShippingCharge,,GBP
203-6167444-0514717,2025-12-11T19:39:43Z,203-6167444-0514717,ShippingTax,,GBP
203-6167444-0514717,2025-12-11T19:39:43Z,203-6167444-0514717,FBAPerUnitFulfillmentFee,,GBP
203-6167444-0514717,2025-12-11T19:39:43Z,203-6167444-0514717,Commission,,GBP
203-6167444-0514717,2025-12-11T19:39:43Z,203-6167444-0514717,FixedClosingFee,,GBP
203-6167444-0514717,2025-12-11T19:39:43Z,203-6167444-0514717,GiftwrapChargeback,,GBP
203-6167444-0514717,2025-12-11T19:39:43Z,203-6167444-0514717,ShippingChargeback,,GBP
203-6167444-0514717,2025-12-11T19:39:43Z,203-6167444-0514717,VariableClosingFee,,GBP
203-6167444-0514717,2025-12-11T19:39:43Z,203-6167444-0514717,DigitalServicesFee,,GBP
026-8662747-0836305,2025-12-11T20:05:24Z,026-8662747-0836305,Principal,,GBP
026-8662747-0836305,2025-12-11T20:05:24Z,026-8662747-0836305,Tax,,GBP
026-8662747-0836305,2025-12-11T20:05:24Z,026-8662747-0836305,GiftWrap,,GBP
026-8662747-0836305,2025-12-11T20:05:24Z,026-8662747-0836305,GiftWrapTax,,GBP
026-8662747-0836305,2025-12-11T20:05:24Z,026-8662747-0836305,ShippingCharge,,GBP
026-8662747-0836305,2025-12-11T20:05:24Z,026-8662747-0836305,ShippingTax,,GBP
026-8662747-0836305,2025-12-11T20:05:24Z,026-8662747-0836305,FBAPerUnitFulfillmentFee,,GBP
026-8662747-0836305,2025-12-11T20:05:24Z,026-8662747-0836305,Commission,,GBP
026-8662747-0836305,2025-12-11T20:05:24Z,026-8662747-0836305,FixedClosingFee,,GBP
026-8662747-0836305,2025-12-11T20:05:24Z,026-8662747-0836305,GiftwrapChargeback,,GBP
026-8662747-0836305,2025-12-11T20:05:24Z,026-8662747-0836305,ShippingChargeback,,GBP
026-8662747-0836305,2025-12-11T20:05:24Z,026-8662747-0836305,VariableClosingFee,,GBP
026-8662747-0836305,2025-12-11T20:05:24Z,026-8662747-0836305,DigitalServicesFee,,GBP
203-9455319-9937952,2025-12-11T20:15:24Z,203-9455319-9937952,Principal,,GBP
203-9455319-9937952,2025-12-11T20:15:24Z,203-9455319-9937952,Tax,,GBP
203-9455319-9937952,2025-12-11T20:15:24Z,203-9455319-9937952,GiftWrap,,GBP
203-9455319-9937952,2025-12-11T20:15:24Z,203-9455319-9937952,GiftWrapTax,,GBP
203-9455319-9937952,2025-12-11T20:15:24Z,203-9455319-9937952,ShippingCharge,,GBP
203-9455319-9937952,2025-12-11T20:15:24Z,203-9455319-9937952,ShippingTax,,GBP
203-9455319-9937952,2025-12-11T20:15:24Z,203-9455319-9937952,FBAPerUnitFulfillmentFee,,GBP
203-9455319-9937952,2025-12-11T20:15:24Z,203-9455319-9937952,Commission,,GBP
