asof_utc,seller_sku,asin,cpt_status,cpt_gbp,our_live_price_gbp,last_sold_price_gbp,price_reference_gbp,price_reference_source,delta_cpt_minus_reference_gbp,group_ab,cpt_error_summary
2026-02-14T10:00:23Z,YF-KP66-IJY6,,,,,,,,,UNKNOWN,
2026-02-14T10:00:23Z,1A-S381-J09C,,,,,,,,,UNKNOWN,
2026-02-14T10:00:23Z,GQ-JASA-966U,,,,,,,,,UNKNOWN,
2026-02-14T10:00:23Z,3Q-JJ0H-Y8K7,,,,,,,,,UNKNOWN,
2026-02-14T10:00:23Z,1C-WYGV-IW8O,,,,,,,,,UNKNOWN,
2026-02-14T10:00:23Z,2C-S7N4-TU7U,,,,,,,,,UNKNOWN,
2026-02-14T10:00:23Z,EI-2WXL-O395,,,,,,,,,UNKNOWN,
2026-02-14T10:00:23Z,KP-AMHW-L7J3,,,,,,,,,UNKNOWN,
2026-02-14T10:00:23Z,B0-FSK3-1L88,,,,,,,,,UNKNOWN,
2026-02-14T10:00:23Z,WR-IXBZ-8DOL,,,,,,,,,UNKNOWN,
2026-02-14T10:00:23Z,BT-7DBY-VHSC,,,,,,,,,UNKNOWN,
2026-02-14T10:00:23Z,AB-B7ZS-3CGI,,,,,,,,,UNKNOWN,
2026-02-14T10:00:23Z,VE-1BJX-JY53,,,,,,,,,UNKNOWN,
2026-02-14T10:00:23Z,AQ-4A75-UZQ4,,,,,,,,,UNKNOWN,
2026-02-14T10:00:23Z,4A-DZKT-5L3H,,,,,,,,,UNKNOWN,
2026-02-14T10:00:23Z,56-K5VJ-WKGX,,,,,,,,,UNKNOWN,
2026-02-14T10:00:23Z,RR-A7OX-MCB4,,,,,,,,,UNKNOWN,
2026-02-14T10:00:23Z,E8-4EWH-VI2G,,,,,,,,,UNKNOWN,
2026-02-14T10:00:23Z,UE-IIJJ-P6EL,,,,,,,,,UNKNOWN,
2026-02-14T10:00:23Z,DW-459L-AFIY,,,,,,,,,UNKNOWN,
