Date,Order ID,SKU,Quantity Ordered,Price_Total,Price_VAT,Price_ExVAT,Shipping_Total,Shipping_VAT,Shipping_ExVAT,Gift_Total,Gift_VAT,Gift_ExVAT,Promotion_Total,Promotion_VAT,Promotion_ExVAT,FBA_Fee_Total,FBA_Fee_VAT,FBA_Fee_ExVAT,Commission_Total,Commission_VAT,Commission_ExVAT,Digital_Fee_Total,Digital_Fee_VAT,Digital_Fee_ExVAT,FixedClosingFee_Total,FixedClosingFee_VAT,FixedClosingFee_ExVAT
2025-12-04T12:48:01Z,204-3234232-3820338,7L-OT45-7LYB,1,-4.34,-0.72,-3.62,,,,,,,,,,,,,0.54,0.09,0.45,0.01,0.00,0.01,,,
2025-12-05T21:26:53Z,203-1204215-2958759,GA-9DTN-9O1E,1,-34.16,-5.69,-28.47,,,,,,,,,,,,,4.93,0.82,4.11,0.12,0.02,0.10,,,
2025-12-06T17:07:19Z,206-2911930-8649943,NN-TSZ1-X2RD,2,-18.98,-3.16,-15.82,,,,,,,,,,,,,1.46,0.24,1.22,0.03,0.01,0.02,,,
2025-12-06T20:03:55Z,206-9314938-9717941,WX-L5UA-UB1Q,1,-5.95,-0.99,-4.96,,,,,,,,,,,,,0.74,0.12,0.62,0.02,0.00,0.02,,,
2025-12-06T20:23:05Z,205-1662582-2212319,WX-L5UA-UB1Q,3,-17.85,-2.97,-14.88,,,,,,,,,,,,,2.22,0.37,1.85,0.06,0.01,0.05,,,
2025-12-07T15:38:12Z,206-1771358-5649928,IB-U5FA-BO2Y,1,-37.49,-6.25,-31.24,,,,,,,,,,,,,5.40,0.90,4.50,0.13,0.02,0.11,,,
2025-12-07T20:10:38Z,205-3712808-3612313,GH-PONH-K4WQ,2,-10.00,-1.67,-8.33,,,,,,,,,,,,,1.44,0.24,1.20,0.04,0.01,0.03,,,
2025-12-07T20:17:22Z,202-9469501-7080302,6V-EEC1-2S9Z,1,-6.80,-1.13,-5.67,,,,,,,,,,,,,0.84,0.14,0.70,0.02,0.00,0.02,,,
2025-12-07T23:42:10Z,206-4716504-3126703,I2-6YKQ-CIBP,1,-9.20,-1.53,-7.67,,,,,,,,,,,,,1.31,0.22,1.09,0.03,0.01,0.02,,,
2025-12-08T16:07:52Z,402-7242287-4963533,TU-8I14-25ZR,1,-29.78,-5.57,-24.21,,,,,,,,,,,,,4.29,0.71,3.58,,,,,,
2025-12-09T20:30:54Z,205-6068930-3176320,MY-XMO2-EXY1,,,,,,,,,,,,,,,,,,,,,,,,,
2025-12-10T20:33:56Z,026-4088668-0607520,6V-EEC1-2S9Z,1,-6.80,-1.13,-5.67,,,,,,,,,,,,,0.84,0.14,0.70,0.02,0.00,0.02,,,
2025-12-11T03:32:43Z,206-4530939-7067545,WX-L5UA-UB1Q,1,-5.98,-1.00,-4.98,,,,,,,,,,,,,0.75,0.13,0.62,0.03,0.01,0.02,,,
