Date,Order ID,lvl,country_code,SKU,Quantity Ordered,currency_code,Price_Total,Price_VAT,Price_ExVAT,Shipping_Total,Shipping_VAT,Shipping_ExVAT,Gift_Total,Gift_VAT,Gift_ExVAT,Promotion_Total,Promotion_VAT,Promotion_ExVAT,COGS_Total,COGS_VAT,COGS_ExVAT,FBA_Fee_Total,FBA_Fee_VAT,FBA_Fee_ExVAT,Commission_Total,Commission_VAT,Commission_ExVAT,Digital_Fee_Total,Digital_Fee_VAT,Digital_Fee_ExVAT,FixedClosingFee_Total,FixedClosingFee_VAT,FixedClosingFee_ExVAT,Margin_ExVAT,Margin_Pct
2025-11-05T22:10:09Z,202-6519840-0084324,3,GB,F7-PMJ2-SG6A,2,GBP,7.90,1.32,6.58,,,,,,,0.0,0.0,0.0,-6.48,-1.08,-5.4,-4.01,-0.67,-3.34,-2.85,-0.47,-2.38,-0.13,-0.02,-0.11,,,,-4.65,-70.66869300911854
2025-11-05T23:03:03Z,203-6002773-7945900,3,GB,XH-0LAE-FQO5,1,GBP,7.21,1.20,6.01,,,,,,,0.0,0.0,0.0,-3.48,-0.58,-2.9,-1.75,-0.29,-1.46,-0.7,-0.12,-0.58,-0.05,-0.01,-0.04,,,,1.03,17.13810316139767
2025-11-05T23:09:07Z,204-9274779-1953111,3,GB,NN-TSZ1-X2RD,1,GBP,9.99,1.67,8.32,,,,,,,0.0,0.0,0.0,-4.66,-0.87,-3.79,,,,-0.96,-0.16,-0.8,-0.02,0.0,-0.02,,,,3.71,44.59134615384615
2025-11-05T23:35:23Z,203-5143127-7918702,0,GB,YC-3L3M-BV48,0,GBP,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
2025-11-05T23:44:28Z,204-9745027-3943504,0,GB,SQ-7QYT-5D5B,0,GBP,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
2025-11-05T23:46:16Z,202-0600211-4479531,3,GB,AF-KIHX-ANYY,1,GBP,4.01,0.67,3.34,0.14,0.02,0.12,,,,0.0,0.0,0.0,-1.01,-0.17,-0.84,-1.76,-0.29,-1.47,-0.62,-0.1,-0.52,-0.05,-0.01,-0.04,,,,0.59,17.05202312138729
2025-11-06T00:00:02Z,206-4019512-0600306,3,GB,XH-0LAE-FQO5,2,GBP,14.42,2.40,12.02,,,,,,,0.0,0.0,0.0,-6.96,-1.16,-5.8,-3.5,-0.58,-2.92,-1.4,-0.23,-1.17,-0.1,-0.02,-0.08,,,,2.05,17.054908485856902
2025-11-06T00:05:57Z,204-5296132-7901940,0,GB,SQ-7QYT-5D5B,0,GBP,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
2025-11-06T00:31:41Z,026-8346062-8108362,3,GB,SQ-7QYT-5D5B,1,GBP,5.93,0.99,4.94,,,,,,,0.0,0.0,0.0,-1.8,-0.3,-1.5,-2.9,-0.48,-2.42,-0.56,-0.09,-0.47,-0.07,-0.01,-0.06,,,,0.49,9.919028340080985
2025-11-06T07:19:26Z,204-0095634-7249107,3,GB,BB-ZT14-1QQA,1,GBP,8.00,1.33,6.67,,,,,,,0.0,0.0,0.0,-3.83,-0.64,-3.19,,,,-1.44,-0.24,-1.2,-0.03,-0.01,-0.02,,,,2.26,33.883058470764624
2025-11-06T07:47:38Z,206-1823992-4435554,3,GB,NN-TSZ1-X2RD,1,GBP,9.99,1.67,8.32,0.50,0.08,0.42,,,,0.0,0.0,0.0,-4.66,-0.87,-3.79,-1.8,-0.3,-1.5,-0.96,-0.16,-0.8,-0.06,-0.01,-0.05,,,,2.6,29.748283752860416
2025-11-06T08:03:16Z,206-4475760-8244307,3,GB,XH-0LAE-FQO5,1,GBP,7.23,1.21,6.02,,,,,,,0.0,0.0,0.0,-3.48,-0.58,-2.9,,,,-0.69,-0.12,-0.57,-0.01,0.0,-0.01,,,,2.54,42.19269102990033
