"Product";"ASIN";"SKU";"Units";"Refunds";"Sales";"Promo";"Ads";"Sponsored products (PPC)";"Sponsored Display";"Sponsored brands (HSA)";"Sponsored Brands Video";"Google ads";"Facebook ads";"% Refunds";"Sellable Quota";"Refund сost";"Amazon fees";"Cost of Goods";"VAT";"Shipping";"Gross profit";"Net profit";"Estimated payout";"Expenses";"Margin";"ROI";"BSR";"Real ACOS";"Sessions";"Unit Session Percentage"
"OtterBox Defender Case for iPad Mini 8.3-Inch 7th gen 2024 (A17 Pro) / 6th gen 2021, Shockproof, Ultra-Rugged Protective Case with built in Screen Protector, 2x Tested to Military Standard, Black COG: 29.96 / Price: 52.99";"B09MWLJFFX";"5Q-LUQ1-L14K";"1";"";"52.99";"";"";"";"";"";"";"";"";"";"-";"";"-11.05";"-29.96";"-8.83";"";"3.15";"3.15";"41.94";"";"5.94";"10.51";"14 637";"";"20";"5.00"
"Fackelmann Sieve 15cm⌀, Strainer, Fine Mesh, Stainless Steel, 15x20x32.5cm, Silver COG: 2.63 / Price: 8.17";"B0009JJZ8A";"GK-YI4S-C158";"11";"";"89.87";"";"";"";"";"";"";"";"";"";"-";"";"-43.49";"-28.93";"-14.98";"";"2.47";"2.47";"46.38";"";"2.75";"8.54";"3 683";"";"61";"18.03"
"Snackles Small Sized 14 cm by ZURU Cuddly Squishy Comfort Plush with License Snack Brand Accessory (Random Assortment) COG: 4.16 / Price: 11.3";"B0CG234KW1";"CJ-X0SS-QOUW";"4";"";"45.52";"";"";"";"";"";"";"";"";"";"-";"";"-18.75";"-16.64";"-8.06";"";"2.07";"2.07";"26.77";"";"4.55";"12.44";"20 163";"";"185";"2.16"
"Price's Petali Brand Scented Tealights | 25 Pack Tealights 4 Hour Burn Time | Available in Multiple Scents (Rose) COG: 1.21 / Price: 4.32";"B00IUKPVYM";"AK-OB6V-HIYD";"11";"";"47.97";"";"";"";"";"";"";"";"";"";"-";"";"-24.79";"-13.31";"-8.00";"";"1.87";"1.87";"23.18";"";"3.90";"14.05";"1 960";"";"765";"1.44"
"Moo Free White Chocolate Bars - Dairy Free, Gluten Free & Vegan (20g) COG: 0.57 / Price: 7.95";"B08WPCW7TH";"86-1VHQ-ABNK";"";"";"";"";"";"";"";"";"";"";"";"";"-";"";"1.97";"-0.57";"";"";"1.40";"1.40";"1.4";"";"";"245.61";"";"";"";""
"SPLAT Biocalcium Toothpaste, 100 ml COG: 2.38 / Price: 6.97";"B00BWU7MNU";"YO-EKK2-FRCC";"5";"";"34.05";"";"";"";"";"";"";"";"";"";"-";"";"-15.33";"-11.9";"-5.68";"";"1.15";"1.15";"18.73";"";"3.38";"9.66";"42 381";"";"67";"7.46"
"SupaDec Sugar Soap 500ml COG: 0.99 / Price: 5.79";"B00LXM3PGK";"HS-R5IP-7E1C";"2";"";"11.58";"";"";"";"";"";"";"";"";"";"-";"";"-6.39";"-1.98";"-2.16";"";"1.05";"1.05";"5.19";"";"9.07";"53.03";"104 678";"";"8";"25.00"
"BRIO 33344 Mechanical Switches Wooden Train Track for Kids Age 3 Years Up - Compatible with all BRIO Railway Sets & Accessories, Multicoloured COG: 8.45 / Price: 17.73";"B00000IU72";"H6-E7MP-EBPD";"2";"";"35.46";"";"";"";"";"";"";"";"";"";"-";"";"-11.74";"-16.9";"-5.91";"";"0.91";"0.91";"23.72";"";"2.57";"5.38";"11 990";"";"231";"0.87"
"Paladone Minecraft Zombie Light - Officially Licensed Merchandise, Portable Night Light and Gaming Room Decor for Kids, Gift for Gamer, Battery Powered COG: 4.85 / Price: 12.1";"B0844ZRHS9";"R4-0AXZ-ZZ9D";"1";"";"12.1";"";"";"";"";"";"";"";"";"";"-";"";"-4.4";"-4.85";"-2.02";"";"0.83";"0.83";"7.7";"";"6.86";"17.11";"1 286";"";"21";"4.76"
"Max Factor Facefinity Matte Bronzer, 001 Light Bronze COG: 2.5 / Price: 5.7";"B08CHKHTWX";"R7-98IN-2PW8";"3";"";"17.1";"";"";"";"";"";"";"";"";"";"-";"";"-6";"-7.5";"-2.85";"";"0.75";"0.75";"11.1";"";"4.39";"10.00";"5 317";"";"1 342";"0.22"
